"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Id3",1.85389340272758e-62,1.6178599626509,0.606,0.094,3.23467320907907e-58
"Aqp4",1.33163256585563e-59,1.3083979536337,0.495,0.066,2.3234325009049e-55
"Slc1a2",1.34379012198222e-56,1.64870718879718,1,0.316,2.34464500483457e-52
"Sdc4",8.68883468625984e-56,1.12002471875429,0.394,0.046,1.51602787605862e-51
"Igfbp5",2.75404287474716e-49,1.31541555109113,0.394,0.052,4.80525400785884e-45
"Mlc1",1.63370173855827e-48,1.2142618184913,0.586,0.104,2.85048279343648e-44
"Plpp3",2.61776636331035e-48,1.22922294346653,0.808,0.184,4.5674787507039e-44
"Atp1a2",1.6153079923665e-45,1.16825720351865,0.758,0.167,2.81838938508107e-41
"Gfap",2.1495899169506e-44,2.03580167040967,0.848,0.28,3.75060448709542e-40
"Gm14964",5.34313122800602e-44,1.06180005807535,0.404,0.058,9.3226953666249e-40
"Pla2g7",8.81181625836682e-44,1.18623314039128,0.626,0.125,1.53748570075984e-39
"F3",2.18120829094208e-43,1.06311255879433,0.616,0.12,3.80577222603575e-39
"Fxyd1",2.66942401240229e-42,1.1109472240711,0.465,0.077,4.65761101683951e-38
"Mt2",2.26473531224914e-41,1.50789217590377,0.889,0.285,3.95151017281229e-37
"Rgs20",3.8193581699556e-40,1.00407505146117,0.515,0.094,6.66401613493853e-36
"Slc1a3",3.63640077006197e-39,1.19962066349149,0.828,0.229,6.34479206360412e-35
"Rorb",3.8474353725551e-39,0.987816509926129,0.525,0.098,6.71300523803414e-35
"Id2",3.03761278054504e-38,1.17820921804833,0.586,0.125,5.30002677949499e-34
"Gja1",2.55298390939028e-37,1.08189751314505,0.646,0.147,4.45444632510416e-33
"Ntsr2",3.35991962894882e-37,1.06803429965174,0.758,0.198,5.86238776858991e-33
"Clu",2.39850650917175e-36,1.49934811058137,0.96,0.434,4.18491415720288e-32
"Apoe",3.06543007622513e-36,1.47177370274417,1,0.919,5.3485623969976e-32
"Id4",5.96675240643435e-36,1.05185007983624,0.465,0.086,1.04107895987467e-31
"Bmpr1b",2.42748413134548e-35,1.04986469226767,0.343,0.052,4.23547431237159e-31
"Slc7a11",2.47962300359172e-35,0.755698377953621,0.404,0.068,4.32644621666683e-31
"Prdx6",2.62381997407038e-35,1.231067305499,0.778,0.224,4.578041090758e-31
"Phkg1",1.00476345936148e-34,0.911435727841651,0.495,0.097,1.75311128389391e-30
"Atp1b2",1.0206237905499e-34,1.14744133383162,0.556,0.123,1.78078438975146e-30
"Acsl3",2.49793514064893e-34,1.1043730512907,0.525,0.112,4.35839723340425e-30
"Wdr17",1.16061050693836e-32,0.815306426771025,0.798,0.231,2.02503321250604e-28
"Mfge8",2.01658948093654e-31,0.867655718722616,0.465,0.094,3.51854532633807e-27
"Lama2",2.65655261527588e-31,0.921642787784634,0.374,0.066,4.63515300313336e-27
"Cldn10",6.95784257704495e-30,1.01069585607368,0.505,0.114,1.2140043728428e-25
"C4b",5.53693377804404e-29,0.793269412990829,0.354,0.063,9.66084205593124e-25
"Pbxip1",1.11790121585888e-28,0.703052435075685,0.323,0.054,1.95051404143057e-24
"Lcat",1.52160321911863e-28,0.824981753175522,0.283,0.044,2.65489329671819e-24
"Npas3",4.96294461946116e-28,0.900461264906613,0.707,0.202,8.65934577203583e-24
"Htra1",7.43106374844693e-28,0.784818399278393,0.505,0.116,1.29657200282902e-23
"Cd9",1.2191153078522e-27,0.872737200220804,0.606,0.158,2.12711238914052e-23
"Sparcl1",3.18590297769192e-27,1.021385767673,0.899,0.36,5.55876351547686e-23
"Scd2",5.05512616757158e-27,1.12494834452603,0.556,0.147,8.82018413717889e-23
"Vim",6.0413662328732e-27,0.954083828796441,0.303,0.052,1.05409758031172e-22
"Fam107a",6.08776237683615e-27,0.744754276173194,0.263,0.04,1.06219277951037e-22
"Glul",6.29967943389103e-27,1.02741067845996,0.768,0.253,1.09916806762531e-22
"Neat1",6.40134223386075e-26,0.777569835643965,0.505,0.124,1.11690619296402e-21
"Glud1",7.82941517474685e-26,1.03776514065574,0.495,0.125,1.36607635968983e-21
"Prex2",1.86430642966496e-25,0.869258223101988,0.545,0.142,3.25284185847942e-21
"Tprkb",2.19120705042597e-25,0.832573236709071,0.414,0.091,3.82321806158323e-21
"Add3",5.03219465176359e-25,0.860876424378792,0.384,0.082,8.78017322839711e-21
"Ndrg2",5.10965477313158e-25,0.718771061091754,0.778,0.248,8.91532564815998e-21
"Aldoc",1.44921194977794e-24,0.979864664031741,0.838,0.321,2.52858500997254e-20
"S1pr1",3.19448363881488e-24,0.60882659742166,0.303,0.055,5.5737350530042e-20
"Slc4a4",3.25128090436515e-24,0.968625744705687,0.616,0.179,5.67283492193631e-20
"Mertk",2.1261082852986e-23,0.706336442178519,0.333,0.066,3.709633736189e-19
"Cpe",4.95949142475275e-23,1.15141528272517,0.949,0.616,8.65332063790861e-19
"Farp1",7.60075381225293e-23,0.772764443744327,0.576,0.165,1.32617952516189e-18
"Hopx",1.17755323451232e-22,0.705869489984406,0.283,0.052,2.05459488357709e-18
"Cd81",1.58565211228077e-22,1.01825882442115,0.919,0.486,2.76664580550749e-18
"Fbxo2",3.24644389805579e-22,0.92710872556726,0.394,0.093,5.66439531332774e-18
"Gpr37l1",8.3473011490109e-22,0.733492517048688,0.525,0.145,1.45643710447942e-17
"Glis3",1.02707219527093e-21,0.818976451713511,0.444,0.111,1.79203556630873e-17
"Arhgef26",1.67130189468296e-21,0.696326403554334,0.313,0.065,2.91608754584283e-17
"Ptn",2.55015255664928e-21,0.927762573671271,0.778,0.304,4.44950618084166e-17
"Cst3",2.97069626267049e-21,0.845510678669577,0.99,0.88,5.18327083910746e-17
"Ptprz1",4.00111483583931e-21,0.715503584229601,0.677,0.221,6.98114516557243e-17
"Gpc5",5.34216110436423e-21,0.439678702370581,0.727,0.252,9.32100269489472e-17
"Mt1",7.60412191152694e-21,0.982729391769852,0.949,0.566,1.32676719112322e-16
"Kcnk1",1.14157785146259e-20,0.892681161061302,0.374,0.09,1.99182503523192e-16
"Hsd17b4",1.15867683659136e-20,0.867818767012161,0.586,0.185,2.02165934448461e-16
"S100a6",1.67430722917606e-20,0.842116096814941,0.273,0.054,2.92133125346639e-16
"Arxes2",2.35970003855335e-20,0.684659899937738,0.313,0.067,4.11720462726788e-16
"Gsn",4.75441391972045e-20,0.788615164347998,0.253,0.048,8.29550140712824e-16
"Dbx2",5.7090444965608e-20,0.608802193192708,0.263,0.05,9.96114083759929e-16
"Hepacam",7.5742045362266e-20,0.563853927184057,0.444,0.115,1.32154720748082e-15
"Cspg5",8.43135445123293e-20,0.905952627362888,0.525,0.16,1.47110272465112e-15
"Paqr8",2.03027886621538e-19,0.762034948398396,0.303,0.066,3.5424305657726e-15
"Tmem47",3.27273809498901e-19,0.700730145219954,0.354,0.084,5.71027342813683e-15
"S100a16",3.75578724814662e-19,0.634144130338521,0.354,0.084,6.55309759056622e-15
"Ntrk2",1.11307222149483e-18,0.919295882225565,0.747,0.314,1.94208841206417e-14
"Abhd3",2.26235549740784e-18,0.766110594596858,0.303,0.069,3.9473578718772e-14
"Ckb",2.29569003966371e-18,0.926534148228105,0.929,0.52,4.00551998120525e-14
"Bcan",2.54890520561791e-18,0.637921514806952,0.566,0.183,4.44732980276213e-14
"Fgfr1",2.95478866576037e-18,0.776017922626982,0.333,0.082,5.1555152640187e-14
"Acsbg1",4.18302442121441e-18,0.798843943244362,0.293,0.065,7.29854101013491e-14
"Sat1",4.31597715045303e-18,0.667392368817777,0.293,0.065,7.53051693211044e-14
"Nfia",6.20921109111899e-18,0.724631799692877,0.727,0.275,1.08338315117844e-13
"Scg3",8.12278956624554e-18,0.688353223941106,0.424,0.118,1.41726432351852e-13
"Ttyh1",1.01557284677983e-17,0.826075205669774,0.505,0.161,1.77197150306144e-13
"6330403K07Rik",1.59835431544671e-17,0.966425452258999,0.606,0.223,2.78880860959142e-13
"Gpm6b",7.2681607744716e-17,0.841966948120041,0.879,0.49,1.2681486919298e-12
"Serpine2",1.34736104546534e-16,0.66282463567524,0.535,0.177,2.35087555212793e-12
"Nhsl1",1.85661708763441e-16,0.519133021499991,0.313,0.076,3.23942549450452e-12
"Laptm4a",2.11725467005453e-16,0.684836347875948,0.657,0.248,3.69418594831115e-12
"Myo6",7.3446447469237e-16,0.686193914611202,0.404,0.119,1.28149361544325e-11
"Cnn3",9.78412319193578e-16,0.781027771871697,0.303,0.077,1.70713381452895e-11
"Stxbp6",1.02150162657399e-15,0.711865463396152,0.626,0.229,1.78231603804631e-11
"Ctsb",1.60076764494045e-15,0.73945740907155,0.566,0.203,2.7930193868921e-11
"Sfxn5",1.9389831824148e-15,0.66721843876411,0.444,0.141,3.38313785667734e-11
"Mmd2",3.2175817323856e-15,0.733375109321111,0.475,0.157,5.6140366066664e-11
"Gprc5b",5.87109194218518e-15,0.557199681350712,0.303,0.077,1.02438812207247e-10
"Hist1h2bc",7.50126886116342e-15,0.564232541668991,0.273,0.066,1.30882139089579e-10
"Mapk4",8.21236075292671e-15,0.702545344599909,0.343,0.097,1.43289270417065e-10
"Cd63",9.96155509030034e-15,0.598170420987685,0.323,0.087,1.7380921321556e-10
"Arhgap5",1.78849337608663e-14,0.697893629867024,0.485,0.168,3.12056324259595e-10
"Tagln3",1.96240986079968e-14,0.782515466814308,0.495,0.176,3.42401272512329e-10
"Mgll",2.41465241340278e-14,0.616995339017151,0.505,0.175,4.21308553090517e-10
"Scrg1",2.57411674539808e-14,0.513608517746511,0.283,0.071,4.49131889737057e-10
"Nkain4",2.89730738944133e-14,0.64578948317664,0.273,0.069,5.05522193309723e-10
"Trps1",3.8764942933342e-14,0.405322502878484,0.566,0.199,6.76370724300951e-10
"Gabrb1",4.54008598363191e-14,0.707662370891821,0.949,0.625,7.92154202424095e-10
"Sorbs1",5.09674590071203e-14,0.740696876603433,0.535,0.203,8.89280224756234e-10
"Hadhb",6.56961870901945e-14,0.635151637903758,0.253,0.062,1.14626707234971e-09
"4930448N21Rik",6.79173919857061e-14,0.574136728696288,0.354,0.103,1.1850226553666e-09
"Acsl6",6.85057138604274e-14,0.626933945032754,0.313,0.087,1.19528769543674e-09
"Sema6d",8.3446928665714e-14,0.566078338157849,0.515,0.179,1.45598201135938e-09
"Msmo1",1.17124933132911e-13,0.685685649745398,0.374,0.117,2.04359583330303e-09
"Ntm",1.22406652025062e-13,0.515314404732767,0.949,0.508,2.13575126453329e-09
"Gpm6a",1.34495302508709e-13,0.6947428129609,0.899,0.541,2.34667403817195e-09
"Sash1",1.3459389986693e-13,0.575043191395327,0.323,0.092,2.34839436487819e-09
"Camk2g",2.39367918903549e-13,0.656083083985369,0.343,0.103,4.17649144902912e-09
"Rmst",2.95185899494394e-13,0.414745882944761,0.333,0.095,5.15040357437818e-09
"Prdx1",5.66117635261028e-13,0.615353790902298,0.515,0.189,9.87762050003441e-09
"Phka1",9.60947827036868e-13,0.474624422520972,0.263,0.069,1.67666176861393e-08
"B2m",1.30848325180636e-12,0.580255870915559,0.404,0.135,2.28304157775174e-08
"Tsc22d4",1.57912186889085e-12,0.618398935530545,0.354,0.111,2.75525183684076e-08
"Ncan",2.02578246121362e-12,0.628433950474843,0.273,0.076,3.53458523832553e-08
"Fjx1",2.8760450925163e-12,0.553537039541567,0.253,0.067,5.01812347742244e-08
"Fbrsl1",2.97220649055653e-12,0.491079616811128,0.253,0.067,5.18590588472303e-08
"Son",3.22346848564973e-12,0.499819286824988,0.97,0.682,5.62430781376165e-08
"Gm10116",3.99791585810682e-12,0.501677758710382,0.394,0.13,6.97556358922478e-08
"Cxcl14",1.27800979427173e-11,0.367222813671371,0.313,0.093,2.22987148904531e-07
"Tspan7",1.42882662422587e-11,0.607313118713388,0.798,0.408,2.49301669394929e-07
