"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox17",0,1.94769676394644,0.345,0.001,0
"Slc40a1",0,2.19944150531656,0.395,0.003,0
"Slc39a10",0,2.13620464004477,0.464,0.039,0
"Sdpr",0,1.61215477114209,0.279,0.003,0
"Fn1",0,2.30658165985261,0.426,0.015,0
"Tns1",0,1.93628701271117,0.329,0.006,0
"Hmcn1",0,2.63806651080519,0.498,0.005,0
"Rgs5",0,4.36384887378193,0.853,0.009,0
"Pcp4l1",0,2.1156332122739,0.414,0.013,0
"Tagln2",0,1.77814977975376,0.329,0.011,0
"Slc30a1",0,1.42831994687906,0.251,0.008,0
"Cd34",0,2.38958040888037,0.48,0.021,0
"Eng",0,2.98417149707541,0.602,0.004,0
"Nostrin",0,2.82748876549326,0.542,0.002,0
"Ccdc141",0,2.66958097019017,0.555,0.021,0
"Lmo2",0,1.59768123237222,0.288,0.011,0
"B2m",0,3.39465290258371,0.89,0.128,0
"Hspa12b",0,1.79037837375331,0.317,0.004,0
"Id1",0,3.28952615901362,0.705,0.022,0
"Pltp",0,3.95113919978952,0.875,0.036,0
"Slc38a5",0,1.91198124036984,0.317,0.003,0
"Itm2a",0,5.42000877884465,0.975,0.033,0
"Mecom",0,2.70211756263407,0.533,0.004,0
"Tm4sf1",0,2.51057807486278,0.498,0.019,0
"BC028528",0,2.19628688329675,0.395,0.006,0
"Slc16a1",0,2.50591577197981,0.536,0.045,0
"Rhoc",0,1.96428766329884,0.348,0.01,0
"Arhgap29",0,1.48608691479149,0.26,0.008,0
"Lef1",0,2.80132469515246,0.549,0.004,0
"Emcn",0,2.53313469509058,0.524,0.006,0
"Adgrl4",0,3.60548649658366,0.737,0.004,0
"Klf4",0,1.85709572256354,0.31,0.002,0
"Acer2",0,1.73647720822081,0.282,0.004,0
"Slc2a1",0,4.19367331916872,0.912,0.036,0
"Mfsd2a",0,2.0967083231139,0.398,0.014,0
"Tinagl1",0,1.60242967321088,0.266,0.002,0
"Grrp1",0,1.51862510255923,0.251,0.002,0
"Clic4",0,1.62558557597471,0.313,0.017,0
"Id3",0,2.24258371575507,0.724,0.09,0
"Vwa1",0,2.82681207432877,0.589,0.023,0
"Isg15",0,1.78972217438912,0.27,0.005,0
"Rundc3b",0,3.41462502214486,0.774,0.063,0
"Abcb1a",0,2.79304527535199,0.545,0.004,0
"Sema3c",0,2.86631501152962,0.555,0.017,0
"Prom1",0,2.4906873296894,0.508,0.007,0
"Kdr",0,2.00566044491771,0.339,0.002,0
"Igfbp7",0,4.3651504568271,0.887,0.025,0
"Anxa3",0,1.95336661750934,0.379,0.006,0
"Hspb1",0,3.0289239193277,0.599,0.006,0
"Flt1",0,4.71687460004157,0.928,0.007,0
"Slc7a1",0,2.73179316034244,0.483,0.011,0
"Gng11",0,2.40362185812547,0.514,0.022,0
"Podxl",0,2.02382128860132,0.37,0.008,0
"Gimap6",0,2.07679701647588,0.398,0.003,0
"Abcg2",0,2.97308106909965,0.627,0.019,0
"8430408G22Rik",0,2.12255492596187,0.282,0.002,0
"Cxcl12",0,3.45762313159489,0.683,0.018,0
"Slco1c1",0,3.09997776811174,0.796,0.043,0
"Slco1a4",0,4.73835013156237,0.931,0.007,0
"Pglyrp1",0,3.89537959260464,0.759,0.016,0
"Bcam",0,2.00766775964375,0.361,0.003,0
"Ltbp4",0,2.34120003354126,0.455,0.025,0
"Lsr",0,2.26279941253649,0.426,0.003,0
"Fcgrt",0,2.44641841233368,0.498,0.012,0
"Rasip1",0,1.94315388816509,0.326,0.003,0
"Atp10a",0,2.40631332590316,0.486,0.009,0
"Ifitm2",0,2.27024773275873,0.467,0.019,0
"Ifitm3",0,3.17906050204307,0.715,0.046,0
"Utrn",0,2.29270172863583,0.58,0.054,0
"Srgn",0,2.17101320058197,0.439,0.008,0
"Kitl",0,2.03555963718442,0.404,0.018,0
"Csrp2",0,1.52493854336609,0.273,0.008,0
"Ptprb",0,2.798486342796,0.552,0.004,0
"Ndufa4l2",0,1.91853952817636,0.298,0.005,0
"Thsd1",0,1.75476650800561,0.298,0.007,0
"Rbpms",0,1.55818775058099,0.27,0.004,0
"Ushbp1",0,2.13537020462205,0.382,0.004,0
"Tpm4",0,2.09925287910812,0.429,0.019,0
"Klf2",0,4.53192986092181,0.875,0.014,0
"Ier2",0,1.75023470678036,0.307,0.009,0
"Cdh5",0,1.84535759747963,0.329,0.002,0
"Wfdc1",0,1.97601551256584,0.329,0.002,0
"Slc7a5",0,3.61232587372105,0.784,0.021,0
"Rgcc",0,2.51699047051479,0.552,0.045,0
"Tbc1d4",0,2.42849223940808,0.498,0.022,0
"Pdgfd",0,1.78866185305865,0.395,0.022,0
"Fli1",0,1.88808917461034,0.329,0.005,0
