"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmha1",0,3.21743609210458,0.336,0.008,0
"Lsamp",1.46444140514271e-303,-2.72054800041589,0.315,0.947,2.555157363693e-299
"Csmd1",3.66107524247757e-215,-2.71171825113848,0.147,0.8,6.38784408307486e-211
"Plxdc2",7.48127423063075e-212,2.81868923292402,0.435,0.098,1.30533272776045e-207
"Nrg3",1.91514174671379e-202,-2.91937357453896,0.156,0.769,3.34153931966622e-198
"Dlg2",2.55481036035801e-194,-2.67031870615204,0.159,0.768,4.45763311675265e-190
"Nlgn1",3.90162440892691e-194,-2.45084594635065,0.137,0.783,6.80755426869568e-190
"Tgfbr1",1.54665172648367e-193,2.47453809845058,0.272,0.04,2.6985979323687e-189
"Dlgap1",2.29780940222315e-193,-2.3497510074264,0.177,0.804,4.00921784499896e-189
"Opcml",2.08859983317874e-191,-2.76066075644178,0.176,0.764,3.64418898893027e-187
"Cadm2",2.96517794454825e-191,-2.41128572342711,0.174,0.806,5.17364247764779e-187
"Tenm2",8.68205492427848e-186,-3.00424509124713,0.149,0.743,1.51484494318811e-181
"Kcnip4",9.19073552910204e-185,-3.35765346971428,0.179,0.736,1.60359953511772e-180
"Lrp1b",1.1650552587794e-181,-2.44675856518659,0.156,0.779,2.0327884155183e-177
"Pcdh9",1.26757851636417e-179,-2.12737638961352,0.209,0.825,2.2116709953522e-175
"Adgrb3",5.91455818111452e-175,-2.35907371347544,0.119,0.75,1.03197211144086e-170
"Fgf14",1.11819956202626e-171,-2.57669375393649,0.077,0.701,1.95103459582342e-167
"Kcnd2",2.21071016030251e-169,-2.82129673169392,0.074,0.686,3.85724708769581e-165
"Nrxn1",2.33890476453629e-166,-2.0505207040336,0.21,0.81,4.08092103316293e-162
"Grin2b",1.16457132693331e-155,-2.24549252136998,0.15,0.721,2.03194405123324e-151
"Dab1",1.31934311964297e-151,-2.44852424865719,0.086,0.667,2.30198987515305e-147
"Celf2",1.53031221204371e-150,-1.86197784328626,0.341,0.807,2.67008874757386e-146
"Meg3",5.67205203860488e-150,-2.28548286275828,0.709,0.906,9.89659639695779e-146
"Mdga2",7.15642391750218e-149,-2.28912792445874,0.078,0.668,1.24865284512578e-144
"Tmsb4x",2.1096897085185e-147,1.40666928871047,0.889,0.781,3.68098660342307e-143
"Magi2",3.95602795294309e-147,-2.01507166377069,0.138,0.726,6.90247757229511e-143
"Grm5",2.56482310404567e-142,-2.1103273337646,0.156,0.711,4.47510335193888e-138
"Fth1",3.19114580503615e-141,1.26033518291701,0.922,0.874,5.56791120062708e-137
"Syt1",2.02987658653789e-139,-1.96378974663988,0.213,0.73,3.5417286681913e-135
"Ptprd",2.62708199201204e-138,-2.32066517845187,0.209,0.725,4.58373265966261e-134
"Ube3a",2.97911691703719e-137,-2.12373083172951,0.138,0.685,5.19796319684649e-133
"Nkain2",1.88596726152834e-134,-2.20242261699632,0.123,0.673,3.29063567791465e-130
"Ubb",6.1223253831772e-134,1.30370511313542,0.869,0.761,1.06822333285676e-129
"Fam155a",2.45476051856964e-133,-2.15895774732327,0.065,0.613,4.2830661528003e-129
"Il1rapl1",8.92117191377382e-130,-2.21118350656728,0.078,0.622,1.55656607551526e-125
"Apoe",6.37232187095557e-129,0.713300159691714,0.985,0.917,1.11184272004433e-124
"Macrod2",6.0248844627176e-128,-2.14828180837033,0.08,0.62,1.05122184105497e-123
"Gm20642",1.56277144209625e-126,-2.26982325290415,0.039,0.566,2.72672361216954e-122
"Cst3",6.02657773482382e-125,1.06235217864931,0.938,0.879,1.05151728317206e-120
"Nrxn3",1.25044492360875e-122,-2.45887426973528,0.138,0.636,2.18177630271255e-118
"Ank3",2.96257293078946e-122,-2.00796086678619,0.083,0.613,5.16909724964145e-118
"Epha6",1.00518346402888e-119,-2.55121288437042,0.074,0.577,1.75384410803759e-115
"Anks1b",1.48679805545738e-119,-1.77118960041205,0.185,0.703,2.59416524716204e-115
"Gabrb1",7.51194058683289e-119,-1.96200226579479,0.107,0.637,1.3106833935906e-114
"Gria1",4.98154015454931e-117,-1.98966052044763,0.129,0.637,8.69179126165764e-113
"Lrrtm4",3.88161820395538e-115,-2.79201797088595,0.138,0.601,6.77264744226135e-111
"Lrrc7",6.78820849549109e-115,-2.06242640423867,0.062,0.569,1.18440661829329e-110
"Ctnna2",4.85468107284036e-114,-1.99738077874037,0.068,0.577,8.47044753589186e-110
"Lrfn5",5.97825063882854e-113,-2.14088327825612,0.053,0.547,1.0430851714628e-108
"Rbfox1",1.2573539145233e-109,-1.84201978779432,0.12,0.624,2.19383111006026e-105
"mt-Co3",8.44515821406107e-108,1.50530013695193,0.767,0.622,1.47351120518937e-103
"4930419G24Rik",2.45582275146189e-106,-3.11620334678654,0.035,0.494,4.2849195367507e-102
"Negr1",2.56509901635376e-105,-2.1319832582761,0.063,0.54,4.47558476373404e-101
"Ctnnd2",9.83064703054307e-103,-1.83865459429122,0.086,0.574,1.71525129388915e-98
"Grin2a",1.13072574893681e-101,-2.0112418484751,0.083,0.554,1.97289028674495e-97
"Adgrl3",3.01411371004568e-101,-1.91875196832766,0.075,0.548,5.2590256012877e-97
"Lingo2",1.21583642765294e-100,-2.51759327542813,0.054,0.504,2.12139139896885e-96
"Rims1",4.74546169535712e-100,-2.00038185600472,0.056,0.52,8.2798815660591e-96
"Grik2",5.55573927593623e-98,-1.98675756050698,0.056,0.512,9.69365388865354e-94
"Lrrc4c",7.42288876657503e-98,-2.15118926466791,0.093,0.557,1.29514563199201e-93
