"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Erbb4",0,1.70592621979344,0.571,0.122,0
"Brinp3",0,2.44949118077564,0.614,0.155,0
"Lrrc4c",0,2.03023925834484,0.885,0.537,0
"Lhfpl3",0,4.74527139472524,0.906,0.067,0
"Pdgfra",0,2.60392250850607,0.282,0.005,0
"Nxph1",0,2.82483420249314,0.517,0.069,0
"Ptprz1",0,2.25491499683119,0.675,0.208,0
"Pcdh15",0,3.18626278970908,0.802,0.163,0
"Vcan",0,2.44110156154914,0.255,0.012,0
"Sox10",0,2.59997640223076,0.32,0.017,0
"Arhgap31",0,2.84630073436613,0.428,0.041,0
"Gm38505",0,3.19119601649963,0.497,0.045,0
"Kcnip4",1.24593129984942e-282,-3.5911955090312,0.154,0.742,2.17390093197726e-278
"Grin2b",2.92831049795546e-278,-2.96319079374707,0.087,0.728,5.10931615683269e-274
"Dscam",3.74655324135407e-274,2.37553286140939,0.671,0.298,6.53698609551458e-270
"Tnr",1.59162135223706e-271,2.46974515433212,0.667,0.302,2.77706093538323e-267
"Syt1",7.49293348840182e-253,-2.51892944303331,0.139,0.738,1.30736703505635e-248
"Serpine2",7.33164148515907e-251,2.11892627882068,0.536,0.167,1.27922480633055e-246
"Tenm2",3.39600026492408e-250,-2.81913902823949,0.204,0.747,5.92534126223953e-246
"Sox6",8.34513357584702e-248,2.0860548481729,0.341,0.066,1.45605890631379e-243
"Grid2",2.13329868700807e-245,2.05440894260784,0.701,0.34,3.72217954909168e-241
"Nkain2",1.20970948963104e-226,-2.70738120570361,0.089,0.679,2.11070111750824e-222
"Gpc5",8.72588003111163e-225,1.41348361082735,0.667,0.241,1.52249154782836e-220
"Celf2",5.6203614886884e-213,-1.83122584549827,0.375,0.81,9.80640672546353e-209
"Matn4",2.43109171628018e-212,2.004350741862,0.259,0.045,4.24176882656565e-208
"Xylt1",3.40869595762234e-207,2.31132711483917,0.42,0.124,5.94749270685945e-203
"Ube3a",1.93719103800906e-203,-2.18203486174438,0.136,0.691,3.38001092311821e-199
"Gria1",7.87473912490611e-196,-2.36341064853505,0.1,0.643,1.37398448251362e-191
"Luzp2",3.65039625549573e-194,1.78745558358481,0.522,0.187,6.36921138658895e-190
"Epha6",6.64184069709634e-182,-2.77324885780785,0.067,0.582,1.15886836482937e-177
"Slc35f1",1.05714018164552e-176,2.09281997909116,0.469,0.175,1.84449818893511e-172
"Meg3",2.45097382524176e-176,-2.1350325953814,0.844,0.904,4.27645913028182e-172
"Grin2a",1.07326286605257e-173,-2.40513179563745,0.051,0.56,1.87262904868853e-169
"Snhg11",6.5887587183111e-172,-2.19493119505993,0.444,0.781,1.14960662117092e-167
"Ptprd",3.18071020175103e-166,-2.13290512152034,0.29,0.728,5.5497031600152e-162
"Dab1",1.4523654369006e-165,-1.85645785680254,0.161,0.67,2.53408721430417e-161
