"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Celf2",0,0.750685774793963,0.997,0.778,0
"Cacnb2",0,1.36255894885914,0.896,0.441,0
"Pde1a",0,1.25356850299568,0.708,0.247,0
"Snhg11",0,0.873281605162049,1,0.749,0
"Pex5l",0,1.42606590012356,0.804,0.262,0
"Ndst3",0,1.08161290336955,0.337,0.079,0
"Cadps2",0,1.07713846256201,0.473,0.131,0
"Cntnap2",0,0.95689553852122,0.864,0.443,0
"Grin2b",0,0.842940172370299,0.984,0.683,0
"Fam189a1",0,1.08426999764609,0.673,0.265,0
"Sv2b",0,1.00307000920135,0.406,0.123,0
"Grm5",0,0.798116812991269,0.967,0.675,0
"Tenm4",0,1.18467757012677,0.68,0.256,0
"Man1a",0,1.21107682099376,0.459,0.128,0
"Galntl6",0,1.16853001623927,0.761,0.307,0
"Ptprg",0,1.06417199191018,0.587,0.215,0
"Hs6st3",0,1.4385305866435,0.798,0.297,0
"5730522E02Rik",0,1.10473664723244,0.7,0.282,0
"Tenm2",0,0.89718791420491,0.994,0.705,0
"Hcn1",0,1.23136310140625,0.688,0.235,0
"Meg3",0,1.11774504173888,1,0.893,0
"Slc8a1",0,1.13059905648351,0.76,0.31,0
"4930419G24Rik",0,1.76705531633979,0.985,0.438,0
"Ldb2",2.62297451466881e-305,0.924953162561625,0.442,0.145,4.57656593319414e-301
"Opcml",2.35176689726133e-302,0.74529524031209,0.99,0.729,4.10336288234156e-298
"A230006K03Rik",2.18989655918243e-298,0.925465831279976,0.53,0.201,3.8209315164615e-294
"Rab26",4.03663630526047e-295,0.922488287508942,0.416,0.135,7.04312302541848e-291
"Slit3",1.14138678165277e-288,0.809109304761664,0.783,0.385,1.99149165662775e-284
"Nnat",6.1015290299363e-283,1.18240961478902,0.618,0.287,1.06459478514329e-278
"St6galnac5",2.0378584881036e-282,0.829817494839918,0.821,0.454,3.55565549004316e-278
"Chrd",8.85241946389049e-281,0.934998021019297,0.377,0.119,1.54457014805961e-276
"Dlg2",1.92393036249958e-280,0.669943153315937,0.989,0.733,3.35687369648926e-276
"Agbl4",2.08576240780962e-280,0.863618261599669,0.616,0.265,3.63923824914622e-276
"Arpp21",2.56415661068548e-268,0.789861259489897,0.795,0.41,4.47394045432403e-264
"Nlgn1",8.62621088226754e-265,0.658987001801671,0.981,0.75,1.50510127473804e-260
"Trpc4",1.13207816728015e-263,0.900561434023502,0.441,0.16,1.9752499862704e-259
"Fam155a",5.53644798086132e-262,0.748945649854149,0.907,0.573,9.65999443700683e-258
"Dgkg",6.94654280028932e-262,0.850799236285873,0.614,0.272,1.21203278779448e-257
"Dmd",7.06498477119106e-256,0.777936958050293,0.825,0.458,1.23269854287742e-251
"Apoe",1.81798473961881e-255,-1.92529507460432,0.893,0.921,3.1720197736869e-251
"Gm15414",3.1901235466129e-255,0.901470538881439,0.306,0.09,5.56612756413019e-251
"Oxr1",1.26188116292574e-253,0.811033744738107,0.7,0.338,2.20173025307283e-249
"Khdrbs3",2.24707483245459e-242,0.834620279004612,0.539,0.229,3.92069616766677e-238
"Lrrc7",3.40557785109127e-241,0.698147845903163,0.882,0.528,5.94205223458404e-237
"Nav3",4.20142393662895e-236,0.688224144696957,0.879,0.533,7.3306444846302e-232
"Caln1",3.23535662210592e-235,0.825623696418021,0.435,0.164,5.64505023425041e-231
"Khdrbs2",1.57542379867381e-234,0.780161135493168,0.559,0.244,2.74879944392606e-230
"Etv1",4.40404717109995e-233,0.831730709961634,0.293,0.087,7.68418150413519e-229
"Pigk",8.33738327208758e-230,0.742065434997758,0.72,0.369,1.45470663331384e-225
"Ntng1",2.55040895484435e-229,0.794291490528454,0.576,0.253,4.44995354441242e-225
"Ppp2r2b",2.07327117508257e-228,0.729980643928306,0.711,0.36,3.61744354628407e-224
"Zfp385b",6.03600003798023e-224,0.844955855668862,0.403,0.153,1.05316128662679e-219
"Phactr1",7.92391339254883e-224,0.676088706800742,0.832,0.48,1.38256440873192e-219
"Adgrl3",1.13504063367303e-223,0.703695541826356,0.839,0.51,1.98041889763271e-219
"Anks1b",7.29362697360058e-222,0.614431271810715,0.955,0.667,1.27259203435383e-217
"Ube3a",8.43408733849258e-220,0.638117608798043,0.961,0.647,1.47157955882019e-215
"Arhgef28",9.30455201037554e-220,0.753158588321523,0.274,0.08,1.62345823477033e-215
"Gm26905",9.80174975526847e-219,0.824829182720968,0.381,0.137,1.71020929729924e-214
"Gm13944",3.11508332590732e-217,0.831646183841764,0.355,0.127,5.43519738704309e-213
"Macrod2",2.26947369894946e-216,0.687358190325441,0.886,0.582,3.95977770992702e-212
"Miat",1.22177921792392e-214,0.765569832401725,0.623,0.301,2.13176037943366e-210
"Mpped1",1.15640048152967e-212,0.720016388482916,0.293,0.09,2.01768756017297e-208
"Runx1t1",1.36398486314442e-212,0.781858662789544,0.42,0.165,2.37988078921439e-208
"Fam19a1",6.948289640133e-211,0.805068808070298,0.773,0.466,1.21233757641041e-206
"Epha6",7.74162672375853e-211,0.593141900000627,0.88,0.537,1.35075903076139e-206
"Large",2.43314431213583e-209,0.684342570968738,0.83,0.49,4.2453501958146e-205
"Cntn3",1.16917403047097e-208,0.900458083812407,0.418,0.168,2.03997484836575e-204
"Zfp462",1.64011784794744e-208,0.701124504841612,0.265,0.079,2.8616776210987e-204
"Nrg1",8.2053037469359e-207,0.981001137725193,0.578,0.287,1.43166139776538e-202
"Msra",8.45968171032489e-201,0.684215273004078,0.742,0.398,1.47604526481749e-196
"Cst3",1.35712387012951e-196,-1.29930544107754,0.86,0.882,2.36790972860197e-192
"Camkv",7.36776610685226e-195,0.691930236587785,0.715,0.386,1.28552783032358e-190
"Zmynd8",1.20365816072206e-193,0.717245745770808,0.557,0.26,2.10014275882785e-189
"Prkcg",6.52889117757347e-190,0.74416794848148,0.43,0.18,1.13916093266302e-185
"Csmd1",5.08940017437498e-186,0.517946447839527,0.987,0.768,8.87998542424947e-182
"R3hdm1",4.14498388922808e-184,0.793124717563349,0.701,0.389,7.23216788992515e-180
"Tenm1",3.04488052839058e-180,0.678863553836329,0.467,0.202,5.31270754593588e-176
"Ppm1e",3.26481930365022e-178,0.590641317735453,0.834,0.506,5.6964567210089e-174
"Psd3",1.12712236688987e-176,0.693887253287546,0.493,0.225,1.96660310574945e-172
"Rab3c",1.28684634018859e-175,0.749818671522592,0.376,0.153,2.24528949436105e-171
"Prkcb",4.62570084464499e-174,0.641617026495397,0.608,0.306,8.07092283373658e-170
"Sorcs3",3.88167441748554e-171,0.698590911612967,0.348,0.135,6.77274552362876e-167
"Adgrb3",8.44452749953808e-170,0.520489288051195,0.954,0.716,1.4734011581194e-165
"Ext1",7.10146470125966e-169,0.63370581442229,0.489,0.223,1.23906356107579e-164
"Pcdh7",2.60768622697493e-168,0.773049457574454,0.541,0.268,4.54989092882586e-164
"Ryr3",5.7545516561138e-168,0.59846131223752,0.605,0.299,1.00405417295874e-163
"Sh3gl2",1.6589276153217e-167,0.660986272836973,0.4,0.168,2.89449690321329e-163
"Sema3e",1.26222255082888e-165,0.737594612349156,0.309,0.116,2.20232590668623e-161
"9530059O14Rik",1.36382988631503e-165,0.589583730038102,0.59,0.29,2.37961038564247e-161
"Eml6",8.44964770293169e-165,0.680537875313126,0.556,0.279,1.47429453120752e-160
"Runx2",4.50151329244709e-164,0.672436929658192,0.397,0.168,7.85424039266169e-160
"Brd9",2.84334700387294e-163,0.68503555174564,0.475,0.222,4.96107185235751e-159
"Ly6h",5.71481465854357e-163,0.689398896036912,0.779,0.479,9.97120861622682e-159
"Gria1",4.19878937353456e-161,0.527735796675323,0.915,0.6,7.3260476989431e-157
"Fam65b",2.74196965550715e-160,0.674349037376405,0.297,0.109,4.78418865492887e-156
"Fth1",1.57423631978629e-159,-0.866532404407144,0.854,0.877,2.74672753076312e-155
"Ak5",1.02561868350178e-158,0.603746275410121,0.654,0.346,1.78949947897391e-154
"Cadm2",9.90070235583791e-157,-0.818611056899853,0.74,0.798,1.7274745470466e-152
"Kcnn2",2.05381057630242e-156,0.584742152596501,0.44,0.196,3.58348869353246e-152
"Syt1",2.21107035704501e-155,0.480097937405964,0.97,0.696,3.85787555897214e-151
"Prkag2",3.58543835140028e-155,0.662673535669673,0.428,0.192,6.2558728355232e-151
"Osbpl6",3.97452356169438e-155,0.680591769370224,0.521,0.257,6.93474871044435e-151
"Itpr1",9.03058121364495e-155,0.648361197798009,0.329,0.129,1.57565581015677e-150
"Arl15",1.09186026035849e-151,0.624287722556962,0.561,0.286,1.90507778227349e-147
"Kcnma1",1.97009727087822e-149,0.555379045479508,0.772,0.46,3.43742571822832e-145
"Gm15810",3.00709663255149e-148,0.627816157474231,0.425,0.194,5.24678220447584e-144
"Grin2a",4.03009038005628e-148,0.509438838660908,0.83,0.518,7.03170169512219e-144
"Pdlim7",9.35953613028129e-148,0.601608337784376,0.537,0.27,1.63305186401148e-143
"Kcnt2",1.34211190452337e-146,0.638831672441593,0.379,0.164,2.34171685101238e-142
"Dock4",2.81223208440915e-146,0.537050531890846,0.794,0.47,4.90678254087709e-142
"4430402I18Rik",1.97128570479194e-145,0.588419408190946,0.701,0.405,3.43949929772097e-141
"Cacna1e",2.78766397729931e-144,0.55950468091512,0.571,0.293,4.86391610759184e-140
"A830018L16Rik",8.13210592662708e-144,0.660980060270558,0.464,0.223,1.41888984207789e-139
"Tmem178b",5.28591355337211e-142,0.597248913109502,0.446,0.212,9.22286196792365e-138
"Zdhhc14",2.09854427680039e-140,0.604877425247731,0.277,0.106,3.66154005416133e-136
"Slit2",5.32553963598958e-140,0.70401405670375,0.318,0.131,9.29200155687461e-136
"Sox5",8.09602856570905e-140,0.501921486412785,0.421,0.19,1.41259506414492e-135
"Dab1",1.02348935636696e-138,0.440085371672574,0.924,0.629,1.78578422898907e-134
"Xkr4",2.20531648410345e-138,0.591243521352823,0.695,0.411,3.8478362014637e-134
"Cttnbp2",8.28848078675889e-138,0.538314448110065,0.805,0.526,1.44617412767369e-133
"Bcl11a",2.3966913084992e-137,0.565693825901309,0.473,0.23,4.18174699506941e-133
"Iqgap2",3.35937480025919e-135,0.576597602403318,0.493,0.246,5.86143715149224e-131
"Hivep2",3.90710851848247e-135,0.559647872590296,0.551,0.289,6.81712294304821e-131
"Dpyd",4.07606592706524e-135,0.565052657801707,0.359,0.155,7.11191982954342e-131
"Nrg3",4.12402789613329e-135,0.444690524723819,0.982,0.735,7.19560387317336e-131
"Gria4",9.20810168886979e-134,0.449086258965406,0.456,0.217,1.606629582674e-129
