"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sox17",0,1.94445489832347,0.361,0.001,0
"Slc40a1",0,2.19469984621485,0.402,0.003,0
"Slc39a10",0,2.12668477537001,0.488,0.039,0
"Sdpr",0,1.58291082369563,0.275,0.003,0
"Fn1",0,2.31096188438054,0.447,0.015,0
"Tns1",0,1.93333008415796,0.355,0.006,0
"Hmcn1",0,2.61699742025752,0.512,0.005,0
"Rgs5",0,4.3635295381616,0.861,0.009,0
"Pcp4l1",0,2.11933151187591,0.432,0.013,0
"Tagln2",0,1.787196122418,0.34,0.012,0
"Slc30a1",0,1.43898649567473,0.263,0.008,0
"Cd34",0,2.3878757844276,0.5,0.021,0
"Eng",0,2.97648680328673,0.621,0.004,0
"Cobll1",0,1.94417878922792,0.432,0.031,0
"Nostrin",0,2.81272727552923,0.559,0.002,0
"Ccdc141",0,2.65821746109418,0.571,0.022,0
"Lmo2",0,1.59807363807775,0.305,0.012,0
"B2m",0,3.40305809054212,0.896,0.129,0
"Hspa12b",0,1.78596952875871,0.334,0.004,0
"Id1",0,3.28157371553428,0.713,0.023,0
"Myl9",0,1.62272253045652,0.263,0.008,0
"Pltp",0,3.9426309782932,0.882,0.036,0
"Slc38a5",0,1.89057381200186,0.328,0.003,0
"Itm2a",0,5.42331860256265,0.976,0.033,0
"Tsc22d3",0,2.12165530204761,0.538,0.052,0
"Mecom",0,2.69735063575409,0.544,0.004,0
"Tm4sf1",0,2.4891459580737,0.509,0.02,0
"BC028528",0,2.205081172467,0.423,0.006,0
"Slc16a1",0,2.50419931861248,0.556,0.045,0
"Rhoc",0,1.95111635429993,0.358,0.01,0
"Slc16a4",0,1.49367375262934,0.26,0.012,0
"Arhgap29",0,1.51139113977142,0.281,0.008,0
"Lef1",0,2.79513872511102,0.571,0.005,0
"Emcn",0,2.51558157938339,0.536,0.006,0
"Adgrl4",0,3.57954883091499,0.749,0.004,0
"Klf4",0,1.85226471537654,0.317,0.002,0
