"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xkr4",0,-2.36303782740717,0.026,0.506,0
"Rgs20",0,2.46840189633472,0.386,0.048,0
"Sntg1",0,-2.06776862681297,0.031,0.47,0
"Prex2",0,2.57619290246231,0.477,0.091,0
"A830018L16Rik",0,-1.66594736808258,0.011,0.284,0
"Kcnb2",0,-2.09312929417178,0.012,0.389,0
"Kcnq5",0,-2.40077459325623,0.054,0.482,0
"Rims1",0,-2.47115194997479,0.037,0.59,0
"Khdrbs2",0,-1.65627383426524,0.022,0.314,0
"Tmeff2",0,-1.62550775297388,0.051,0.385,0
"Map2",0,-0.959318763108078,0.211,0.616,0
"Acsl3",0,1.87949080115818,0.312,0.082,0
"Serpine2",0,1.72903579351615,0.41,0.142,0
"Sphkap",0,-1.73010453423341,0.02,0.336,0
"Cntnap5a",0,-1.93032329085105,0.014,0.296,0
"R3hdm1",0,-1.16842248771136,0.119,0.468,0
"Gpr37l1",0,2.23076002998365,0.426,0.101,0
"Glul",0,1.80918562755611,0.505,0.215,0
"Cacna1e",0,-1.67577184106411,0.027,0.367,0
"Tnr",0,-1.80693374703885,0.025,0.363,0
"Prdx6",0,1.58896180689393,0.423,0.196,0
"Atp1a2",0,2.58783890590961,0.579,0.103,0
"Celf2",0,-1.90291460738493,0.406,0.862,0
"Cacnb2",0,-2.46333019380952,0.047,0.553,0
"Etl4",0,-1.88029232376222,0.023,0.306,0
"Grin1",0,-1.59073327483982,0.039,0.408,0
"Zeb2",0,-1.1055928210277,0.192,0.572,0
"Kcnh7",0,-2.28877493002712,0.027,0.381,0
"Rapgef4",0,-1.46926465054313,0.043,0.383,0
"Osbpl6",0,-1.41250635636499,0.03,0.324,0
"Slc1a2",0,3.12442507086901,0.879,0.228,0
"Ano3",0,-1.67220718987983,0.017,0.304,0
"Ryr3",0,-1.86642520010115,0.022,0.379,0
"Mertk",0,2.22689675264441,0.292,0.031,0
"Macrod2",0,-1.32151435496538,0.202,0.677,0
"Pcsk2",0,-1.64113227105417,0.046,0.417,0
"Cst3",0,1.824743839353,0.977,0.865,0
"Snhg11",0,-2.67939474402812,0.372,0.837,0
"Tspan7",0,1.91907662352157,0.671,0.369,0
"Gria3",0,-1.55759767336596,0.04,0.39,0
"Il1rapl1",0,-1.138887874339,0.238,0.673,0
"Phka1",0,1.98394362869882,0.25,0.04,0
"Cnksr2",0,-1.45635380689971,0.032,0.343,0
"Gpm6b",0,1.29379567065218,0.63,0.472,0
"Frmpd4",0,-2.74568168375411,0.038,0.573,0
"Egfem1",0,-1.91823932518297,0.076,0.482,0
"Pex5l",0,-1.84270952775482,0.033,0.357,0
"Slc7a11",0,2.0847890258658,0.27,0.037,0
"Nbea",0,-1.6445575869788,0.089,0.55,0
"Gm20754",0,-2.08326286103298,0.02,0.413,0
"4921511C10Rik",0,-1.70281198422539,0.068,0.473,0
"Bcan",0,2.40434295293031,0.522,0.131,0
"Gm3764",0,2.1573026238056,0.655,0.34,0
"Ntng1",0,-1.84692125443823,0.032,0.323,0
"F3",0,2.58584583981581,0.466,0.066,0
"Ppp3ca",0,-1.18424303413914,0.336,0.767,0
"Ak5",0,-1.75216485926739,0.045,0.429,0
"Lrrc7",0,-2.65807615112099,0.041,0.645,0
"Mmp16",0,-1.45862772481394,0.062,0.397,0
"Nkain3",0,-1.48921865303451,0.03,0.315,0
"Epha7",0,-1.78758037541583,0.041,0.393,0
"Lingo2",0,-2.98194045378331,0.045,0.57,0
"Brinp1",0,-1.78162858509024,0.043,0.438,0
"Ptprd",0,-2.79392552323338,0.202,0.799,0
"Slc24a2",0,-1.98811038064648,0.049,0.5,0
"Nfia",0,1.51606032561168,0.461,0.248,0
"Dnajc6",0,-1.39808833610408,0.025,0.311,0
"Dab1",0,-1.42442627835465,0.267,0.719,0
"Plpp3",0,2.91293499082287,0.651,0.111,0
"Agbl4",0,-1.40854387603119,0.043,0.34,0
"Cdk14",0,-1.21068778213864,0.084,0.426,0
"Grm3",0,2.0052754505486,0.355,0.107,0
"Cacna2d1",0,-1.57613689432273,0.042,0.388,0
"Dpp6",0,-1.81987741424481,0.033,0.431,0
"Kcnip4",0,-3.67082988939742,0.172,0.816,0
"Gabrb1",0,1.44788777559166,0.779,0.604,0
"Epha5",0,-1.20897474541234,0.125,0.504,0
"Slc4a4",0,1.63791554991892,0.366,0.151,0
"Sparcl1",0,2.01951651760728,0.693,0.31,0
"Miat",0,-1.5961018874452,0.032,0.38,0
"Phkg1",0,2.77478036392752,0.428,0.045,0
"Wbscr17",0,-1.95428774481595,0.028,0.418,0
"Auts2",0,-1.03058391550599,0.295,0.699,0
"Cttnbp2",0,-1.60625773930236,0.137,0.62,0
"Kcnd2",0,-1.84546635646859,0.211,0.75,0
"Ptprz1",0,2.10427352558065,0.556,0.17,0
"Plxna4",0,-1.45852306296374,0.022,0.309,0
"Ptn",0,1.67450870805502,0.531,0.271,0
"Dgki",0,-1.7512948937265,0.031,0.388,0
"Cntnap2",0,-2.8173540995117,0.069,0.549,0
"Ccser1",0,-1.91410697938733,0.05,0.506,0
"Lrrtm4",0,-3.53722771693348,0.089,0.676,0
"Sfxn5",0,1.99272871779875,0.347,0.11,0
"Tprkb",0,1.87524473075053,0.268,0.064,0
"Fam19a1",0,-2.9085993476954,0.054,0.566,0
"Cntn4",0,-2.21525919762525,0.031,0.386,0
"Grm7",0,-2.58894878538349,0.044,0.618,0
"Cacna1c",0,-1.85331805819705,0.018,0.369,0
"Grin2b",0,-2.45899306603687,0.171,0.798,0
"Apoe",0,2.05165880871615,0.998,0.907,0
"Slc7a10",0,2.61081464773752,0.34,0.024,0
"Luzp2",0,2.34953618193093,0.454,0.158,0
"Gabrb3",0,-2.06624458898679,0.048,0.54,0
"Ube3a",0,-2.69440895979743,0.107,0.768,0
"Fam189a1",0,-1.7723601382766,0.016,0.35,0
"Ntrk3",0,-1.81127337425015,0.034,0.422,0
"Mfge8",0,2.16650888407782,0.317,0.06,0
"Grm5",0,-2.33227094466206,0.162,0.789,0
"Dlg2",0,-3.44884766038571,0.11,0.861,0
"Fam57b",0,-1.39254473398314,0.03,0.32,0
"Htra1",0,2.15407838162339,0.362,0.078,0
"Cd81",0,1.87801720326571,0.76,0.445,0
"Sash1",0,1.75526215054112,0.253,0.068,0
"Nhsl1",0,2.16485186024017,0.281,0.045,0
"Ahi1",0,-1.04245779024625,0.117,0.47,0
"Lama2",0,1.97821460254439,0.254,0.037,0
"Nkain2",0,-2.69004261552655,0.112,0.753,0
"Grik2",0,-1.16402408630627,0.158,0.562,0
"Gja1",0,2.41678390769724,0.473,0.096,0
"Ank3",0,-2.67070283811581,0.051,0.694,0
"Matk",0,-2.13432884689369,0.069,0.614,0
"Anks1b",0,-2.45329316302439,0.13,0.785,0
"Rmst",0,1.93961701853172,0.309,0.062,0
"Atp2b1",0,-1.07716144495123,0.139,0.505,0
"Ppfia2",0,-2.13603371608979,0.049,0.525,0
"Syt1",0,-2.88300941788184,0.13,0.816,0
"Nav3",0,-2.33307744739643,0.074,0.644,0
"Fam155a",0,-2.82481373448405,0.05,0.693,0
"Dlgap2",0,-2.5081898794734,0.023,0.555,0
"Csmd1",0,-2.55237534651785,0.232,0.878,0
"Unc5d",0,-1.90333328912486,0.012,0.287,0
"Wdr17",0,3.14605761601878,0.724,0.156,0
"Gpm6a",0,1.54413799992344,0.695,0.52,0
"Galntl6",0,-3.05888739629998,0.044,0.398,0
"Cpe",0,1.60356355122055,0.801,0.59,0
"March1",0,-1.9756133097379,0.039,0.446,0
"Large",0,-1.55596085083308,0.12,0.587,0
"Cacna1a",0,-1.69308067375473,0.04,0.415,0
"Mt2",0,1.85405635459166,0.557,0.244,0
"Mt1",0,1.48352271721647,0.75,0.539,0
"Cadps",0,-1.42680499434059,0.066,0.428,0
"Ube2e2",0,-1.0703540516868,0.144,0.528,0
"Kcnma1",0,-1.65952108268288,0.093,0.554,0
"Erc2",0,-2.35392711645809,0.044,0.56,0
