"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dnah7b",0,1.90832903808274,0.275,0.014,0
"Gm973",0,2.2447433912973,0.376,0.022,0
"Ccdc108",0,1.86499913719142,0.261,0.01,0
"Ucma",0,1.86591533808722,0.261,0.011,0
"Enkur",0,2.03077058080346,0.289,0.005,0
"Pamr1",0,1.76849141887395,0.284,0.015,0
"Pltp",0,2.80077849541838,0.576,0.039,0
"Gm10714",0,2.52817446877809,0.371,0.002,0
"Tmem212",0,3.14103839614094,0.539,0.012,0
"Ankub1",0,2.74240472437089,0.449,0.013,0
"Spag17",0,2.63329329786144,0.402,0.006,0
"Fam166b",0,1.91025653018309,0.267,0.003,0
"Tctex1d4",0,2.12647961679445,0.298,0.004,0
"Ccdc146",0,2.31567549878809,0.343,0.011,0
"1700007G11Rik",0,3.71660650536634,0.638,0.011,0
"Wdr66",0,1.84557406409732,0.272,0.011,0
"Rarres2",0,3.12384270506377,0.531,0.028,0
"Dnah6",0,2.44696970998114,0.379,0.005,0
"Ttll3",0,2.18355346554496,0.337,0.014,0
"Dnaaf3",0,2.1663414161714,0.309,0.001,0
"Vwa3a",0,2.33834938875013,0.382,0.025,0
"Ak9",0,2.28494988283727,0.32,0.005,0
"Gm867",0,3.34951006526062,0.551,0.004,0
"Lrriq1",0,2.20480819371629,0.32,0.012,0
"Lrrc36",0,2.35707591041329,0.346,0.003,0
"Hydin",0,2.43273483979583,0.388,0.004,0
"Dynlrb2",0,2.00549788986208,0.267,0.007,0
"Dnah12",0,3.33460723585418,0.559,0.003,0
"Ccdc153",0,2.68004581209692,0.444,0.012,0
"Ttc21a",0,1.97275452021433,0.27,0.001,0
"Dnah2",0,2.1124953526861,0.315,0.018,0
"Mycbpap",0,1.85387525116953,0.256,0.008,0
"Cdhr3",0,2.17801760759017,0.32,0.005,0
"Spef2",0,2.678064884087,0.435,0.016,0
"Mapk15",0,2.64346136364717,0.413,0.004,0
"Odf3b",0,3.29845083813989,0.548,0.006,0
"Cfap44",0,2.23225350601891,0.334,0.014,0
"Kif6",0,2.25286856740177,0.334,0.018,0
"C3",0,2.20761633449967,0.337,0.012,0
"1700028P14Rik",0,2.00108190532666,0.27,0.006,0
"Cfap43",0,2.83621067695439,0.466,0.011,0
"Armc3",0,1.93676360462603,0.258,0.008,0
"Adgrv1",0,2.10915749078149,0.301,0.011,0
"Ak7",0,2.99325894929395,0.463,0.007,0
"Lrrc43",0,2.38587632043799,0.351,0.003,0
"Armc4",0,2.06981204873218,0.298,0.004,0
"Dnah10",0,1.92430768461813,0.256,0.002,0
"Rgs22",0,1.82292319179164,0.253,0.004,0
"Cfap61",0,2.04358599018908,0.278,0.007,0
"Spag16",0,3.52303196279883,0.61,0.027,0
"Spata17",0,2.34493160875311,0.343,0.01,0
"Gm13481",0,3.07197726158212,0.489,0.016,0
"Wdr49",0,2.87189710349223,0.419,0.008,0
"Ccdc170",0,2.33245599337747,0.326,0.002,0
"FRMPD2",0,2.07486363476402,0.281,0.002,0
"Gm29266",0,1.75695479106616,0.256,0.009,0
"Ankfn1",0,2.84441266422982,0.435,0.016,0
"3300002A11Rik",0,2.71667284661142,0.545,0.054,0
"Dnah11",0,2.60785125772044,0.402,0.018,0
"Kif9",2.25567461787971e-302,2.31567214524543,0.399,0.033,3.93570107327651e-298
"Adamts20",1.57277207962927e-297,2.29461359935218,0.388,0.031,2.74417272453716e-293
"Tm4sf1",3.41750249411718e-293,2.02779189966359,0.323,0.021,5.96285835173566e-289
"Rmst",9.0549606720209e-280,2.68182638515515,0.638,0.09,1.57990953805421e-275
"Gm16083",8.13694049329285e-249,2.41138610541505,0.427,0.046,1.41973337726974e-244
"Pbxip1",4.62493484103432e-236,2.11379383454051,0.452,0.051,8.06958631063668e-232
"Slc38a1",7.96273426059098e-234,2.519661151367,0.508,0.071,1.38933787378791e-229
"Ppil6",5.99165790630118e-233,2.14940537793647,0.357,0.034,1.04542447149143e-228
"Unc13c",1.11493506695048e-225,2.10906694971449,0.329,0.029,1.94533870481519e-221
"Lrrc51",3.08922336514308e-223,1.86813942335515,0.289,0.023,5.39007692750164e-219
"Gm42722",5.17048498825631e-218,1.88304799736995,0.295,0.024,9.02146220750961e-214
"Armc2",6.76636103992565e-217,1.92779476517505,0.272,0.021,1.18059467424623e-212
"Lrrc48",2.53848662496859e-203,1.97452950618651,0.32,0.031,4.4291514632452e-199
"Prelp",6.46644461625495e-201,1.65417755052158,0.261,0.02,1.12826525664416e-196
"Dnah9",4.77359518641856e-195,2.28242149324237,0.48,0.074,8.32896888126311e-191
"Syne1",1.14203592603231e-193,2.61954529765138,0.744,0.202,1.99262428374117e-189
"Sox6",1.84514639844635e-177,2.00031151202742,0.466,0.071,3.2194114360092e-173
"Drc1",1.85574862322406e-174,2.01531480564583,0.32,0.036,3.23791019780134e-170
"Ccdc190",3.56708741828922e-170,1.60011224427559,0.289,0.029,6.22385412743103e-166
"Itpkb",3.42975296612518e-168,1.84319101294938,0.289,0.03,5.98423297529521e-164
"Arhgap6",4.81552497760679e-166,1.95024095900327,0.312,0.035,8.40212798092833e-162
"1700088E04Rik",4.0095872441891e-163,1.68121348561073,0.275,0.028,6.99592782366115e-159
"Gm14964",7.78843251182885e-158,1.80089687884584,0.396,0.056,1.3589257046639e-153
"Nme5",8.72103360747256e-158,1.80437240219387,0.292,0.032,1.52164594383181e-153
"Gm4876",4.52668560090701e-157,1.50268336014024,0.253,0.024,7.89816103646256e-153
"Npas3",1.73273242092586e-152,1.88567905864813,0.742,0.199,3.02327152803144e-148
"St3gal6",5.26113291076708e-150,1.61949754833578,0.267,0.028,9.1796247027064e-146
"Gsn",1.92330730760504e-144,2.03383157156492,0.337,0.046,3.35578659030927e-140
"Plce1",2.87077307850256e-142,1.59796975804251,0.301,0.037,5.00892486737127e-138
"Lsamp",7.11887583984721e-142,-2.33900864009325,0.382,0.941,1.24210145653654e-137
"Cfap54",5.19963797598176e-117,2.09228865453989,0.537,0.145,9.07232834049298e-113
"Slc2a1",4.83383909181189e-116,1.58331705368517,0.298,0.043,8.43408244739338e-112
"Apoe",1.61306806555892e-113,1.50208041736711,0.992,0.918,2.81448116078721e-109
"Dbi",1.55247149811288e-102,1.99604592469413,0.823,0.424,2.70875226990734e-98
"Dlg2",2.05059755586661e-101,-2.59212327668729,0.185,0.763,3.57788261547607e-97
"Nrg3",2.24858764939687e-101,-2.68522552645594,0.197,0.764,3.92333573066766e-97
"Mro",1.52840600767989e-99,1.51842927524439,0.272,0.041,2.66676280219986e-95
"Dlgap1",4.62246823122958e-98,-2.19055743179705,0.292,0.798,8.06528256984937e-94
"Opcml",6.42208850543583e-97,-2.59717232856755,0.233,0.759,1.12052600242844e-92
"Cadm2",2.58288018608204e-92,-2.13840236985403,0.272,0.8,4.50660934867595e-88
"Tenm2",4.09920247387289e-91,-2.69532784596078,0.205,0.738,7.15228847641343e-87
"Crocc",2.01740367535884e-90,1.60708609458667,0.281,0.049,3.51996593276611e-86
