"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Satb2",0,1.54409265121727,0.295,0.045,0
"Vwc2l",0,1.60665356816929,0.269,0.022,0
"Dpp10",0,1.6512710400369,0.546,0.132,0
"Gm28928",0,2.15059083937096,0.521,0.083,0
"Lrrc4c",0,1.71468531184157,0.897,0.53,0
"Tshz2",0,3.10049745450628,0.793,0.081,0
"Lingo2",0,1.70045251123728,0.95,0.47,0
"Ptprd",0,1.5805358309077,0.994,0.7,0
"Ldb2",0,1.51577407024909,0.487,0.155,0
"Pdzrn3",0,1.7275979500203,0.36,0.05,0
"Gm28905",0,1.74682270623018,0.329,0.046,0
"Nrg1",0,1.57861326153699,0.709,0.291,0
"Sgcz",0,2.41321896918278,0.721,0.194,0
"Hs6st3",0,1.73214001078653,0.827,0.315,0
"Cntn5",0,1.9706936744362,0.772,0.287,0
"Tenm2",0,1.16499012940164,0.985,0.717,0
"Zbtb20",0,-2.00721134565753,0.338,0.766,0
"Gm26883",0,2.49320172986021,0.531,0.04,0
"Kcnb2",1.52320582172475e-291,1.39693000645184,0.675,0.317,2.65768951774535e-287
"Snhg11",3.13484289388217e-290,0.865460754478848,0.998,0.759,5.46967388124561e-286
"Kcnq5",1.40854399777022e-286,1.12845469901311,0.801,0.401,2.45762756730948e-282
"Gria4",9.48676288959017e-282,1.26673761590619,0.577,0.221,1.65525038897569e-277
"Meg3",1.5948412653774e-277,0.782370323275258,1,0.897,2.78267903983048e-273
"Pcdh15",3.34574729714165e-276,1.2831380100548,0.5,0.167,5.83765988405275e-272
"Khdrbs2",1.01180646810778e-274,1.43049956459392,0.598,0.254,1.76539992555445e-270
"Arpp21",1.53806587489405e-268,1.15882435048675,0.78,0.427,2.68361733851515e-264
"Car10",8.80653029766275e-265,1.40142420202268,0.482,0.167,1.5365634063362e-260
"Meis2",6.56114220431073e-258,1.31092873143939,0.361,0.099,1.14478809180814e-253
"Gpc6",6.49101833678496e-253,1.4759260868808,0.398,0.12,1.13255287940224e-248
"Cit",1.38392528136745e-249,1.2335374285709,0.375,0.108,2.41467283092992e-245
"Pam",3.12157813545879e-249,1.23664075351929,0.582,0.244,5.44652953074849e-245
"Mef2c",1.6814208430967e-240,1.20601820449453,0.478,0.169,2.93374308703513e-236
"Unc5d",2.7723976923256e-221,1.18132656778413,0.55,0.231,4.83727949356971e-217
"Phactr1",1.31651654513263e-213,0.97890981946465,0.814,0.495,2.29705806794741e-209
"Asap1",3.3821247030768e-212,1.2045137764661,0.473,0.187,5.9011311819284e-208
"Mgat4c",1.48328728723969e-201,1.13134029488778,0.582,0.263,2.58803965877581e-197
