"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vwc2l",0,1.93046848028029,0.312,0.024,0
"Gm28928",0,3.21992987204251,0.598,0.086,0
"Etl4",0,2.70666564371339,0.895,0.238,0
"Tshz2",0,2.53626082427742,0.558,0.101,0
"Il1rapl2",0,2.08190369921695,0.351,0.073,0
"Olfm3",0,1.88140127802694,0.334,0.03,0
"Ptprd",0,1.91905185492828,0.998,0.704,0
"Grm8",0,2.03249510468136,0.521,0.087,0
"Cntn6",0,2.29538846545764,0.328,0.053,0
"Sox5",0,1.66656721711205,0.636,0.193,0
"Hs3st4",0,2.54315428443254,0.815,0.194,0
"Gm28905",0,1.64798367098089,0.336,0.049,0
"Lrrtm3",0,1.6495092548515,0.62,0.173,0
"Nrg1",0,1.70239097406255,0.729,0.295,0
"Sgcz",0,1.71267264396174,0.698,0.202,0
"Cntnap4",0,1.85897538823738,0.389,0.038,0
"Sgcd",0,2.44078327619647,0.604,0.223,0
"Phactr1",0,1.43409091205962,0.887,0.496,0
"Cdh18",0,2.18406213018127,0.515,0.103,0
"Sntb1",0,1.48559720014251,0.256,0.028,0
"Pdzrn4",0,1.7728019205849,0.421,0.091,0
"Chsy3",0,1.85682651080826,0.542,0.121,0
"Gm26883",0,1.87216199518792,0.364,0.054,0
"Nrg3",1.81908524952507e-302,1.06423201621082,0.985,0.747,3.17393994337135e-298
"Frmpd4",4.13232015604505e-302,1.66083879929832,0.857,0.483,7.21007220826741e-298
"Nrxn1",2.65043595213531e-295,1.16008708695142,0.969,0.791,4.62448064928568e-291
"Zbtb20",4.58273789572099e-295,-2.07742477840092,0.346,0.76,7.99596108045399e-291
"Lrrc4c",9.43456571516301e-294,1.31877583128657,0.893,0.535,1.64614302598164e-289
"Fut9",7.50472486054054e-288,1.4625430933573,0.526,0.159,1.30942439366711e-283
"Agbl4",1.84158415915806e-282,1.49616882397972,0.674,0.281,3.21319604089899e-278
"Asic2",7.34517826927017e-277,1.44983382589163,0.761,0.364,1.28158670442226e-272
"Brinp3",4.81798141773457e-274,1.94040120810958,0.499,0.156,8.40641397766327e-270
"Arpp21",9.45141272647378e-270,1.31469773339687,0.818,0.43,1.64908249251515e-265
"Pcdh9",2.83518071056243e-266,1.09000263024652,0.971,0.806,4.94682330378933e-262
"Prickle1",2.25628157429442e-262,1.21361235690247,0.883,0.548,3.9367600908289e-258
"Mmp16",2.53866811518791e-253,1.47000641547101,0.705,0.335,4.42946812737987e-249
"Ctnna3",8.13451038045555e-250,1.33735706119248,0.558,0.191,1.41930937118188e-245
"Pcsk5",2.49680880262103e-241,1.26016317502502,0.275,0.054,4.35643199881317e-237
"Dlc1",7.15898437610054e-234,1.406029766542,0.44,0.135,1.24909959394202e-229
"Malat1",1.18814660219493e-232,-0.581967439052228,1,1,2.07307819150972e-228
"Garnl3",2.8019657469063e-227,1.36094479205863,0.342,0.086,4.88886983520212e-223
"Rmst",1.44915247642364e-225,1.25735143590308,0.354,0.085,2.52848124086397e-221
"Mgat4c",3.92567518935543e-208,1.94299677869723,0.592,0.267,6.84951807038735e-204
"Slc35f1",2.61747723630764e-198,1.17303703677649,0.488,0.173,4.56697428190957e-194
"Khdrbs2",4.91817180194016e-191,1.26721483404691,0.592,0.259,8.58122616002519e-187
"Htr1f",8.30899392092763e-188,1.25722622828039,0.269,0.065,1.44975325932345e-183
"Kcnh7",4.22583592633413e-185,1.1623431544445,0.673,0.316,7.37323852426779e-181
"Serpini1",2.47216097788394e-184,1.32815085327665,0.413,0.139,4.31342647421191e-180
"Cntn4",2.93627955143724e-184,1.95427388800959,0.627,0.324,5.1232205613477e-180
"Gabrg3",3.26057622850664e-170,1.28340420648796,0.537,0.235,5.68905340349839e-166
"Tle4",9.63138612095475e-168,1.09301420250405,0.304,0.083,1.68048425038418e-163
"Snhg11",6.45084771982089e-166,0.727365680190608,0.996,0.762,1.12554391015435e-161
"Ldb2",7.15151994697928e-165,1.18573816631589,0.436,0.162,1.24779720034895e-160
"Fam19a1",4.92493193968627e-160,-2.25767686315554,0.154,0.511,8.5930212483646e-156
"Slc8a1",6.74965499749993e-158,1.09602346656798,0.654,0.34,1.17767980396379e-153
"Gm15810",1.12123281504441e-156,1.20149331277839,0.484,0.205,1.95632701568949e-152
"Csmd1",6.09147402340614e-155,0.703875722458131,0.971,0.78,1.0628403876039e-150
"Cacnb4",1.58491700072908e-154,1.29522285172122,0.493,0.218,2.7653631828721e-150
"Fgf14",1.28552481216208e-150,0.823387096608701,0.916,0.679,2.2429836922604e-146
"Pde1a",3.08846682264269e-150,1.23883672793768,0.564,0.278,5.38875691214696e-146
"Dpp10",3.20059259386059e-149,1.27114894068909,0.393,0.144,5.58439395776796e-145
"Hecw2",6.79164076266699e-149,1.1111872394023,0.4,0.149,1.18500548027014e-144
"Slc35f4",5.41035634126106e-145,1.14301245826956,0.324,0.107,9.4399897442323e-141
"Adgra1",9.1940593204714e-145,1.13996317276182,0.288,0.087,1.60417947023585e-140
"Zfpm2",6.11269755649126e-143,1.18223703295239,0.533,0.246,1.06654346965659e-138
"Adgrb3",1.31638145971942e-142,0.793809454974437,0.925,0.73,2.29682237091844e-138
"Meg3",3.70195878807039e-142,0.622292377950617,1,0.899,6.45917769342521e-138
"Xkr6",3.13179874278985e-141,1.01512858838826,0.263,0.073,5.46436244641973e-137
"Pbx1",2.49139722585289e-140,0.915301441149769,0.712,0.406,4.34698987966812e-136
"Pcdh15",8.40607358623805e-140,0.996985535330833,0.444,0.174,1.46669171932681e-135
"Mdga2",6.04924102280387e-139,0.862814642125861,0.861,0.649,1.05547157365882e-134
"Chrm3",4.99517405850418e-138,1.09284945218181,0.57,0.273,8.7155796972781e-134
"Cdh11",8.00639149505141e-136,1.17098949850706,0.46,0.203,1.39695518805657e-131
"Smyd3",1.05282050900264e-135,1.14812224076705,0.398,0.157,1.83696122410781e-131
"Opcml",1.18370982584331e-132,0.756401008363872,0.974,0.743,2.06533690413141e-128
"Arap2",1.19603781599863e-129,0.985132055889064,0.266,0.078,2.0868467813544e-125
"Tox",2.74044000903139e-128,1.04982406236279,0.277,0.084,4.78151972775797e-124
"Nav3",9.90032808101973e-127,0.82872070623916,0.818,0.554,1.72740924357632e-122
"Pde4d",2.14562669661346e-126,0.985090402021059,0.743,0.475,3.74368946025116e-122
"Myt1l",3.10232484040797e-122,0.942210390439116,0.664,0.392,5.41293638154382e-118
"Fam155a",4.93867089914264e-118,0.765518671318909,0.849,0.593,8.61699298482407e-114
"Dync1i1",1.16466103862321e-116,1.05150710099216,0.493,0.245,2.03210058018977e-112
"Stard5",1.19071768094114e-116,1.17003805700665,0.347,0.133,2.0775642097061e-112
"Csmd3",4.81428866720015e-116,0.840979803642289,0.775,0.518,8.39997086653082e-112
"Srrm4",2.01439953229614e-115,1.0723033763845,0.361,0.145,3.5147243039503e-111
"Cpne4",4.88544996004154e-115,1.39645202497028,0.365,0.15,8.52413309028047e-111
"Celf4",1.31080445773947e-113,0.994404937953077,0.627,0.374,2.28709161786382e-109
"Ryr3",5.42942514473248e-110,0.936560922385486,0.577,0.318,9.47326099252924e-106
"Dgkb",4.08886001313821e-108,-1.62624044590089,0.105,0.4,7.13424295092354e-104
"Epha6",8.55766225328234e-108,-1.58258012899706,0.347,0.58,1.4931409099527e-103
"Pcsk2",2.19943049055576e-105,0.918178672255241,0.612,0.354,3.83756631992168e-101
"Auts2",2.90822662333956e-105,-1.10823410059218,0.406,0.653,5.07427381240287e-101
"A330102I10Rik",1.44305665213301e-103,1.02476041241835,0.312,0.12,2.51784524664167e-99
"Gm20754",7.23669659848332e-103,-1.6073768263685,0.087,0.371,1.26265882250337e-98
"Zeb2",2.24597203244587e-102,-1.31765161737599,0.256,0.531,3.91877200221155e-98
"Gm11418",3.88221646281587e-101,0.992459588465662,0.286,0.106,6.77369128432113e-97
"Grm7",4.6761332719554e-100,0.804617090742306,0.769,0.528,8.15891733290778e-96
"Dock3",1.31858035581789e-96,0.890965866733265,0.515,0.276,2.30065900483105e-92
"Unc5d",6.39673876978407e-96,0.672632781265775,0.493,0.238,1.11610298055192e-91
"A230006K03Rik",2.41853897454813e-95,1.00390083619241,0.441,0.223,4.21986680279159e-91
"Xylt1",1.15706506961319e-94,0.813459170028675,0.321,0.127,2.01884713346109e-90
"Esrrg",2.36500021692387e-94,0.883574999429861,0.272,0.1,4.12645237848877e-90
"Kcnma1",9.53451842768448e-94,0.80846424196805,0.719,0.48,1.66358277526239e-89
"Tenm1",1.57407086145725e-90,0.821192796011619,0.444,0.217,2.74643883907062e-86
"Dscam",3.10447794231823e-89,0.720946033818314,0.546,0.302,5.41669311375684e-85
"Anks1b",3.81708055837433e-89,0.577786632931638,0.898,0.685,6.66004215825154e-85
"Prr16",1.27988336489976e-88,0.844095574781711,0.265,0.096,2.2331404950771e-84
"Camk4",6.42341448567354e-88,0.930371824426873,0.268,0.103,1.12075735946032e-83
"Dlg2",2.75068629643097e-85,0.588749615718776,0.952,0.748,4.79939745001276e-81
"Lsamp",4.27218161706949e-85,-0.522895983927556,0.888,0.937,7.45410248546285e-81
"Gria1",5.17001055689749e-85,-1.05303508129366,0.466,0.637,9.02063441967473e-81
"Nlgn1",1.10924991232006e-84,-0.781258047659462,0.656,0.776,1.93541924701604e-80
"Spon1",9.83776144711418e-82,0.858094750458533,0.284,0.113,1.71649261729248e-77
"Rims2",4.54399917794866e-81,0.846560987537015,0.436,0.228,7.92836976568482e-77
"4930509J09Rik",4.23064514698131e-80,-1.46435218564937,0.061,0.295,7.38162965245298e-76
"A830018L16Rik",2.657270942994e-79,0.880680095241977,0.448,0.237,4.63640634133593e-75
"Trpm3",3.09337469460633e-78,-1.73430025712701,0.138,0.37,5.39732016714912e-74
"Samd12",1.72948324351853e-77,0.877095660925076,0.473,0.264,3.01760236329114e-73
"Stxbp5l",4.85325032874378e-77,0.754418972704611,0.566,0.342,8.46795117359215e-73
"Ptprn2",1.5085344907428e-76,0.748822944557749,0.575,0.356,2.63209097944803e-72
"Ptk2",4.66474817192847e-76,0.827376666925285,0.507,0.298,8.13905261038079e-72
"Grm3",2.08453304401695e-75,0.534755214041262,0.321,0.133,3.63709325520078e-71
"Grid1",6.98581900833609e-75,0.876650616696773,0.42,0.221,1.21888570057448e-70
"4930419G24Rik",1.50080411913827e-72,0.498032772330938,0.745,0.476,2.61860302707246e-68
"Lmo3",2.20458308436622e-72,0.811286574554128,0.3,0.131,3.84655656560219e-68
"Khdrbs3",3.69445490215565e-70,0.821871454227919,0.453,0.251,6.44608491328118e-66
"Epha5",5.04300356362215e-70,0.730025965221299,0.661,0.442,8.79903261780792e-66
"Senp8",4.51472335369059e-69,0.880928541448723,0.304,0.141,7.87728930751934e-65
"Ssbp2",1.27337543249207e-68,0.766344661776991,0.414,0.218,2.22178545461217e-64
"Thrb",1.74751319196009e-68,0.813256125012181,0.413,0.22,3.04906101733197e-64
"Pip5k1b",3.55551977151431e-66,-1.33129651603091,0.086,0.294,6.20367089733816e-62
"Bcl11a",5.54009551531712e-66,0.791784498133617,0.436,0.246,9.66635865512531e-62
"Slit3",1.21638884144209e-65,-1.1248875091644,0.214,0.431,2.12235525054817e-61
"Sh3gl2",1.34163487631779e-65,0.872394811783444,0.356,0.184,2.34088453219928e-61
"Galntl6",1.70495051823804e-65,0.626286267079154,0.57,0.339,2.97479766422172e-61
"Wbscr17",2.5775082632635e-65,-1.19045011512325,0.156,0.373,4.49723641774216e-61
"Ntng1",4.77029915949212e-65,-1.57165731558076,0.088,0.291,8.32321797348184e-61
"Reep1",3.03859616162476e-64,0.797022308298963,0.262,0.115,5.30174258280289e-60
"Ctnnd2",4.13187671211671e-64,0.516868118491435,0.756,0.558,7.20929848730123e-60
"Tanc2",5.67073051292233e-64,0.741222476336851,0.538,0.34,9.89429059894688e-60
"Strbp",2.25083704090907e-63,0.574060945330155,0.768,0.575,3.92726046897814e-59
