"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"St18",0,3.71682296310383,0.738,0.088,0
"Plcl1",0,2.6879375171324,0.656,0.171,0
"Tnfaip6",0,2.25999335935869,0.276,0.018,0
"Prr5l",0,3.80639668861573,0.61,0.013,0
"Gatm",0,2.77493490185339,0.547,0.087,0
"Plp1",0,4.0953010325447,0.927,0.22,0
"Cldn11",0,2.88492213029957,0.487,0.057,0
"Hapln2",0,3.81503917292085,0.607,0.021,0
"Ugt8a",0,2.40106561251802,0.293,0.014,0
"Pde4b",0,3.78546635683262,0.877,0.196,0
"Rnf220",0,3.06528180577472,0.477,0.04,0
"Adipor2",0,2.83637567304508,0.379,0.031,0
"Mag",0,3.71255397608512,0.656,0.032,0
"Fa2h",0,2.88579244991895,0.387,0.014,0
"Aspa",0,2.80985926935352,0.362,0.015,0
"Enpp2",0,2.74728078841397,0.435,0.045,0
"Sox10",0,2.21415509151445,0.29,0.02,0
"Lsamp",0,-2.9603022663739,0.32,0.949,0
"Mog",0,3.38259223983033,0.551,0.031,0
"Neat1",0,3.65694658511996,0.764,0.112,0
"Sec14l5",0,2.75044008694975,0.331,0.006,0
"Apod",1.94837224638759e-299,2.70404528147361,0.52,0.11,3.39951989549706e-295
"Edil3",1.2732963757865e-289,2.65980809306654,0.641,0.188,2.22164751647228e-285
"Ppp1r14a",6.15175124000223e-288,2.03796675627493,0.257,0.025,1.07335755635559e-283
"Sept4",2.00642149227271e-284,2.63862253928563,0.525,0.119,3.50080421971742e-280
"Cdk19",6.91691823478422e-264,2.41652828383422,0.424,0.078,1.20686389360515e-259
"Car2",1.89826817209653e-257,2.69970662273903,0.56,0.149,3.31209830667403e-253
"Gm42413",3.07121415865152e-248,2.39681711690482,0.33,0.05,5.35865446401516e-244
"Mbp",1.71966065905906e-247,1.71305974599378,0.957,0.771,3.00046391792625e-243
"Csmd1",6.06461530809758e-243,-2.96782454318647,0.136,0.803,1.05815407895687e-238
"Dlgap1",4.59796913637618e-238,-2.78594370490654,0.137,0.808,8.02253654914915e-234
"Arhgap23",3.64211152853466e-237,2.38351359500631,0.363,0.064,6.35475619498727e-233
"Nrg3",8.98549589341542e-234,-3.27728046632099,0.125,0.772,1.56778932348312e-229
"Celf2",1.53091113356811e-231,-2.75176757655369,0.195,0.812,2.67113374584964e-227
"Zfp536",4.9316878588351e-224,2.26259031392222,0.363,0.066,8.60480897609549e-220
"Tmeff2",8.80944089552391e-221,2.42822821723424,0.721,0.329,1.53707124745101e-216
"Meg3",2.27510449832178e-218,-2.90054615139868,0.628,0.909,3.96960232867183e-214
"Nkain2",3.15218855009408e-217,1.72469255573023,0.923,0.657,5.49993858220415e-213
"Opcml",1.11591086242674e-210,-2.91838733011766,0.187,0.766,1.94704127276218e-206
"Nrxn1",4.54224163273428e-207,-2.43614440487486,0.187,0.813,7.92530320079477e-203
"Mast4",2.9697008555516e-204,2.40716514073874,0.658,0.277,5.18153405276643e-200
"Kcnip4",6.66268597755329e-200,-3.36131825651415,0.175,0.739,1.1625054493635e-195
"Fgf14",1.11380056276609e-198,-2.91122290426441,0.065,0.704,1.94335922191427e-194
"Dock10",2.46364010368658e-196,2.16102208025689,0.604,0.215,4.29855925291235e-192
"Pcdh9",4.1991415266347e-195,1.53838713682131,0.942,0.81,7.32666213567222e-191
"Grin2b",9.55274880651607e-190,-2.68171314056327,0.128,0.724,1.66676361176092e-185
"Slc24a2",1.77633659588015e-188,2.14519159450239,0.75,0.43,3.09935209249169e-184
"Mobp",6.19974786328174e-185,2.18646090788438,0.589,0.22,1.0817320071854e-180
"Kcnd2",9.78191920753158e-183,-2.8362164839395,0.081,0.689,1.70674926333011e-178
"Phlpp1",1.38410219690756e-182,2.36328343868903,0.526,0.174,2.41498151316432e-178
"Adgrb3",1.67477608655271e-180,-2.24338048260529,0.149,0.752,2.92214931581717e-176
"Ptgds",3.10279646766757e-177,2.16371092851997,0.55,0.195,5.41375927678638e-173
"Ube3a",1.56313144751139e-174,-2.56556244674246,0.094,0.69,2.72735174961787e-170
"Syt1",4.16848087749891e-174,-2.32732938213293,0.174,0.734,7.2731654350601e-170
"Dab1",2.07928331729976e-169,-2.63016008386615,0.088,0.67,3.62793353202462e-165
"Tenm2",2.96042754460435e-169,-2.56031604877291,0.241,0.743,5.16535397982567e-165
"Nlgn1",6.04710754944835e-167,-1.98014937211426,0.248,0.783,1.05509932522775e-162
"Gabrb1",1.19476144691734e-156,-2.52433679741596,0.073,0.641,2.08461977258138e-152
"Qk",2.20191084919497e-156,2.05689355238003,0.571,0.222,3.84189404967538e-152
"Gria1",3.9841651417452e-156,-2.5920522391032,0.088,0.642,6.95157133931702e-152
"Fam155a",1.14633371920433e-155,-2.62690404185122,0.053,0.616,2.00012307326771e-151
"Aatk",4.1516901965159e-151,2.0898916127561,0.323,0.074,7.24386905488094e-147
"C4b",6.0814101898078e-147,1.96367330393135,0.29,0.06,1.06108444991766e-142
"Fth1",3.80140488908005e-145,1.2144100590512,0.95,0.874,6.63269125046687e-141
"Lrrc7",2.92139016248305e-144,-2.60799050268883,0.038,0.573,5.09724155550042e-140
"Nrxn3",4.58797150942404e-144,-2.95748457747271,0.136,0.64,8.00509268964306e-140
"Rbfox1",7.59343735753166e-144,-2.35273453435243,0.091,0.628,1.32490295014212e-139
"Sorcs1",1.60624457102021e-142,2.01620012950254,0.335,0.081,2.80257552751607e-138
"Lrrtm4",2.1958382624302e-141,-3.13724519829519,0.095,0.606,3.83129860028822e-137
"Gm20642",2.03603869583565e-140,-2.57846157371102,0.042,0.569,3.55248031649403e-136
"Frmd5",2.37579775900668e-135,2.05580791874283,0.501,0.196,4.14529192991486e-131
"Vmp1",1.25317360291159e-134,1.92330938011416,0.637,0.346,2.18653730236014e-130
"Epha6",3.80761311444998e-132,-2.76636931251324,0.079,0.581,6.64352336209233e-128
"Snhg11",5.79646043741444e-132,-2.21622927413551,0.428,0.78,1.01136641712007e-127
"Lrfn5",6.74246149834858e-132,-2.45003493050927,0.041,0.551,1.17642468223186e-127
"Erbb2ip",1.6118696848279e-131,1.86439633860692,0.251,0.05,2.81239022608772e-127
"Ypel2",8.90349157587354e-130,2.03832401571376,0.273,0.061,1.55348121015841e-125
"Ppm1e",2.22037044999484e-129,-2.42344007479402,0.045,0.549,3.874102361151e-125
"Grin2a",1.03550926394207e-122,-2.30366686627446,0.066,0.558,1.80675656372612e-118
"St6galnac3",1.26913733310694e-120,2.0232535183459,0.496,0.211,2.21439081880499e-116
"Ntm",1.73435786416865e-119,-2.91861050933043,0.05,0.523,3.02610760140147e-115
"Gria2",3.19624222270502e-119,-1.59760744652944,0.202,0.705,5.57680343017572e-115
"Nav3",1.48220717657561e-116,-2.05485813816597,0.088,0.576,2.58615508168913e-112
"Cnp",3.59223621369039e-115,2.24708743914582,0.337,0.098,6.267733745647e-111
"Map7",3.09113210804541e-114,1.99278024766753,0.345,0.105,5.39340730211764e-110
"Rims1",9.60479913306856e-114,-2.16382493003581,0.052,0.524,1.6758453527378e-109
"Ctnnd2",3.25557996998188e-113,-1.94285359050826,0.091,0.577,5.68033593162438e-109
"Grm5",1.46376854538926e-112,-1.61634666816753,0.264,0.712,2.55398335799519e-108
"Dlgap2",1.65783706965918e-111,-2.27011712686721,0.034,0.491,2.89259411914134e-107
"Frmpd4",1.13436405824143e-109,-2.40867164203439,0.053,0.509,1.97923840881966e-105
"Nrcam",1.45994876146767e-109,-2.0784923630106,0.049,0.51,2.54731859900878e-105
"Cacnb2",1.57262263448591e-109,-2.46686288913456,0.043,0.493,2.74391197265102e-105
"Kalrn",1.89572377132771e-108,-1.8131454240431,0.101,0.579,3.30765883621258e-104
"Kctd13",1.04344699530073e-107,1.84153662677753,0.289,0.077,1.82060631740072e-103
"Rtn4",1.79491039970611e-107,1.73642105256026,0.574,0.314,3.13175966540722e-103
"Fam19a1",1.01701570939721e-105,-2.64360985113599,0.069,0.505,1.77448900975626e-101
"Nrg3os",5.8373742269322e-105,-2.24128204555486,0.028,0.464,1.01850505511513e-100
"Adgrl3",1.57856113597068e-104,-1.87052695769563,0.09,0.552,2.75427347004164e-100
"Cryab",2.48935338283178e-104,1.95888832414911,0.321,0.096,4.34342378236489e-100
"Matk",4.95001276179363e-104,-1.83849289205565,0.088,0.548,8.63678226677753e-100
"Cadm2",1.03946108484801e-103,-1.3415767172823,0.403,0.803,1.81365170084281e-99
"Frmd4a",5.09244002282729e-103,-1.65781233593951,0.077,0.537,8.88528935182905e-99
"Magi2",8.81606912457269e-103,1.27206633615926,0.825,0.713,1.53822774085544e-98
"Erc2",9.83856685870728e-103,-2.09680313991938,0.055,0.499,1.71663314550725e-98
"Sept7",1.79544659735883e-102,1.87516208904125,0.419,0.163,3.13269522307169e-98
"Kcnma1",2.54250174347067e-101,-1.96965893855663,0.058,0.5,4.43615704200763e-97
"Lingo2",3.81977600897477e-101,-2.37130047787531,0.074,0.507,6.66474518045919e-97
"Negr1",1.29069065188976e-99,-1.86735449954698,0.094,0.542,2.25199704941725e-95
