"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nr4a2",0,2.0679056696958,0.523,0.028,0
"Nr4a3",0,1.70108976579569,0.391,0.017,0
"Egr4",0,2.02130567077063,0.387,0.023,0
"Pcsk1",0,1.34898734586384,0.287,0.009,0
"Homer1",0,3.01964084198131,0.799,0.1,0
"Npas4",0,1.57185128553268,0.301,0.008,0
"Bdnf",1.06373756249149e-268,1.64536805374164,0.48,0.041,1.85600929903515e-264
"Mlip",6.5710694226037e-235,2.32652914013164,0.599,0.075,1.14652019285589e-230
"Zdbf2",1.10819044046258e-221,1.28971770189412,0.254,0.014,1.93357068051911e-217
"Inhba",2.94783435329319e-207,2.16067168590187,0.254,0.015,5.14338137962595e-203
"Nr4a1",1.11827290362281e-191,1.14688223981984,0.28,0.019,1.95116256224108e-187
"Pde10a",1.30479000201302e-180,2.32907883614716,0.95,0.297,2.27659759551232e-176
"Arc",6.40973223654516e-161,1.48322975427304,0.333,0.033,1.1183700806324e-156
"Sik2",1.70658912692457e-147,1.8025132342471,0.599,0.108,2.97765670865799e-143
"Tiparp",2.69776579900081e-147,1.69372671756382,0.423,0.055,4.70706176609661e-143
"3110035E14Rik",7.03591344081728e-142,1.29332735472262,0.391,0.049,1.2276261771538e-137
"Osbpl6",9.02011152863955e-140,1.89324973027384,0.892,0.278,1.57382905951703e-135
"R3hdm1",1.4660385410834e-139,2.59074186681044,0.932,0.415,2.55794404648232e-135
"Junb",3.99048948821094e-128,1.56381506531652,0.441,0.067,6.96260605903045e-124
"Frmd6",7.55390659356067e-125,1.27243271133233,0.369,0.049,1.31800562244447e-120
"Ankrd33b",4.39004168437539e-120,1.38227061417044,0.53,0.097,7.65974473089818e-116
"A830010M20Rik",5.22970590743605e-117,1.54098501449877,0.466,0.081,9.12479086729441e-113
"Zfp804a",1.96952915746197e-115,2.08376350149063,0.649,0.161,3.43643447393965e-111
"Ntrk2",1.3517006252128e-110,1.71723089050954,0.882,0.313,2.35844725087129e-106
"Btg2",1.54600029094257e-110,1.06503359570287,0.258,0.028,2.6974613076366e-106
"Scg2",7.7235353937373e-105,1.82574455892206,0.573,0.13,1.34760245549928e-100
"Rgs7bp",2.53881666862403e-103,1.80822874835851,0.731,0.218,4.42972732341521e-99
"Sorcs3",1.26102619709588e-99,1.79393202983157,0.599,0.152,2.20023850869289e-95
"Pam",2.23519083064092e-97,1.88573441785941,0.774,0.258,3.89996096130227e-93
"Tulp4",5.25678065880214e-97,1.48610410291228,0.556,0.127,9.17203089347797e-93
"Psd3",1.0695963751167e-96,1.52813209761663,0.774,0.247,1.86623175530362e-92
"Ralgapa1",1.26963227944159e-96,1.76629488897652,0.778,0.274,2.21525440116968e-92
"Zswim6",1.49315331855896e-96,1.38532413164355,0.577,0.136,2.60525391022168e-92
"Vgf",7.68649759922223e-95,1.57166377984963,0.384,0.067,1.34114010111229e-90
"Lrrk2",1.16895583077653e-91,1.03142357187185,0.254,0.032,2.03959413353889e-87
"Prkca",3.01740455784835e-91,1.9106352792948,0.903,0.421,5.2647674725338e-87
"Ptprn",3.08001524220198e-91,1.42322190355811,0.767,0.246,5.37401059459401e-87
"Cdc14b",3.04827682380439e-90,1.43766384494606,0.384,0.069,5.3186334021739e-86
"Ap2b1",1.43206229918471e-89,1.48464001506303,0.616,0.169,2.49866229961748e-85
"Arhgef3",2.38051649963381e-86,1.39504378905552,0.559,0.14,4.15352518856108e-82
"Osbpl8",2.44191299745174e-86,1.29189481612534,0.566,0.14,4.2606497979538e-82
"Kdm7a",1.30907995015892e-83,1.2970712556484,0.444,0.095,2.28408269703728e-79
"Brinp1",8.80230131141038e-82,1.59941473895081,0.849,0.379,1.53582553281488e-77
"Cpeb3",2.14277466411718e-76,2.29069692387298,0.849,0.433,3.73871323395166e-72
"Rab3c",1.74897209533961e-75,1.43812071273802,0.584,0.171,3.05160651194856e-71
"Slc2a13",2.36231960900232e-74,1.93654293664206,0.685,0.248,4.12177525378724e-70
"Sik3",6.16063565046531e-73,1.31100980765543,0.756,0.273,1.07490770829319e-68
"Fbxo33",9.80897471488414e-71,0.933335097430314,0.262,0.041,1.71146990825298e-66
"Cabp1",4.32986277694036e-69,1.16219857324754,0.409,0.094,7.55474457320554e-65
"Dmxl1",6.55792948523626e-68,1.27409503394633,0.491,0.131,1.14422753658402e-63
"Akap13",1.02217913805464e-65,1.05799054113972,0.462,0.118,1.78349816007774e-61
"Ina",1.05055710681946e-61,1.0988090367999,0.362,0.081,1.83301203997859e-57
"Lmo7",6.68932402013284e-61,1.2453348263571,0.552,0.169,1.16715325503278e-56
"Fbl",7.89554747100102e-61,0.88121548924921,0.258,0.045,1.37761512274026e-56
"Hivep2",1.80261969872814e-60,1.18991852205935,0.767,0.311,3.14521085034086e-56
"Gadd45g",3.10955571158462e-60,1.10271441896283,0.351,0.077,5.42555280557284e-56
"1810034E14Rik",1.98240104114296e-58,1.1412004560373,0.308,0.064,3.45889333658623e-54
"Dxo",2.40360348004019e-58,0.819936783614787,0.251,0.044,4.19380735197413e-54
"Rock2",5.6553620728319e-58,1.04716416713594,0.559,0.172,9.8674757446771e-54
"Auh",1.01235565038366e-57,0.941514149072676,0.416,0.104,1.76635813878941e-53
"Tbc1d1",6.20902355654663e-57,1.07120165539672,0.315,0.069,1.08335043014626e-52
"Btaf1",9.37930727423605e-56,1.09510370453144,0.573,0.185,1.63650153320871e-51
"Cdk11b",6.4255712238292e-55,1.28948595603515,0.323,0.073,1.12113366713372e-50
"Arpp21",1.50386051260759e-54,1.0430836696362,0.892,0.442,2.62393582239773e-50
"Mbnl2",3.89300946112933e-54,1.21135591783734,0.724,0.307,6.79252290777845e-50
"Zdhhc14",5.7903805556402e-53,0.87647639241405,0.437,0.12,1.0103055993481e-48
"Sema3e",6.1915052142208e-53,1.21238085073492,0.448,0.132,1.08029382977724e-48
"Hcn1",9.53612202981485e-53,1.14827131793851,0.695,0.274,1.66386257176209e-48
"Meg3",1.4183536182636e-52,0.846277249684872,1,0.902,2.47474339314633e-48
"Plk2",2.14299129646315e-52,1.18500727125739,0.52,0.168,3.7390912140689e-48
"Gm15810",3.15515796195781e-52,1.06943360061379,0.599,0.214,5.50511961202399e-48
"Nap1l5",4.54434849877977e-52,1.1032765805786,0.577,0.195,7.92897926067094e-48
"Ifrd1",8.90571689450114e-51,0.879393607762964,0.287,0.061,1.55386948375256e-46
"4930419G24Rik",3.12402763151274e-50,1.39072026636654,0.857,0.484,5.45080341146343e-46
"Pex5l",8.12572584940841e-49,1.19650470793514,0.71,0.308,1.41777664620478e-44
"Zfp385b",1.6738503085866e-48,1.07401093825018,0.52,0.175,2.92053401842189e-44
"Jarid2",4.81870079887327e-48,1.0605816354132,0.38,0.106,8.40766915387409e-44
"Braf",6.252341255317e-47,0.938245353573604,0.573,0.201,1.09090850222771e-42
"Hspa4",6.75020468215756e-47,1.05266613111444,0.444,0.136,1.17777571294285e-42
"Aff3",1.55470394709588e-46,1.01421579185238,0.527,0.183,2.71264744689289e-42
"Efr3b",6.65261615275089e-46,1.12468911660119,0.405,0.121,1.16074846633198e-41
"Peak1",1.96841313551084e-45,0.947308832788378,0.416,0.123,3.43448723883932e-41
"Nmnat2",1.99580817923507e-45,1.27909665004744,0.573,0.217,3.48228611112935e-41
"Gm4128",3.72388773457151e-45,1.06079302134232,0.276,0.064,6.49743931928038e-41
"Phactr1",1.4516546749799e-44,0.941250776772253,0.903,0.51,2.53284707690493e-40
"Gm26573",5.54527543598839e-44,1.37634410859177,0.294,0.073,9.67539658071255e-40
"Jmjd1c",1.32735721752307e-43,1.00658774037464,0.627,0.243,2.31597287313426e-39
"Gabra2",2.89320274528081e-43,1.05695709227295,0.659,0.276,5.04806014996595e-39
"Grin2b",4.33901472925922e-43,0.806504011921112,0.989,0.708,7.5707128996115e-39
"Slc6a17",2.97018692149325e-42,0.811205616424526,0.301,0.076,5.18238214062143e-38
"Mia3",8.30213407599427e-42,0.829722921396908,0.33,0.089,1.44855635357948e-37
"Epha10",1.08093067624187e-41,0.889702159501816,0.391,0.117,1.88600784390681e-37
"Clstn3",3.98741856843392e-41,0.730381485902091,0.366,0.103,6.9572479182035e-37
"Srrm4",4.2236720886201e-41,0.909444203122777,0.462,0.152,7.36946306022435e-37
"Epha6",7.12416514087837e-41,0.99042542693427,0.932,0.566,1.24302433378046e-36
"Prickle1",3.84499531127783e-40,1.00670931276176,0.896,0.56,6.70874781911755e-36
"Cbarp",5.14256322746684e-40,0.767093315500147,0.305,0.079,8.97274431928414e-36
"Fam189a1",7.02530739318609e-40,0.862234126420797,0.692,0.3,1.22577563396311e-35
"Eprs",7.18419594427792e-40,0.727138421309085,0.258,0.06,1.25349850835761e-35
"Sgip1",1.23018945373779e-39,0.936792624276732,0.781,0.386,2.1464345588817e-35
"Lncpint",1.52980710230311e-39,0.892306590399145,0.742,0.344,2.66920743209846e-35
"Tet2",1.56400022915686e-39,0.719205222608934,0.355,0.101,2.72886759983288e-35
"Hs6st3",1.73065455535407e-39,1.03632750936483,0.717,0.34,3.01964606818178e-35
"Cnih3",2.68112992409307e-39,0.856920153297261,0.312,0.084,4.67803549155758e-35
"Malat1",3.23091169953198e-39,0.512575179193776,1,1,5.63729473334339e-35
"Rheb",8.42775164104949e-39,0.81441588366693,0.452,0.149,1.47047410633031e-34
"Mapk10",2.49329577678699e-38,0.98093546146333,0.796,0.422,4.35030247133793e-34
"Plppr4",3.05431215665566e-37,0.862786505113213,0.459,0.161,5.3291638509328e-33
"R3hdm2",1.12143500816361e-36,0.711411683999088,0.409,0.132,1.95667980224387e-32
"Mgat4c",1.52028035829468e-36,0.772459335973369,0.659,0.277,2.65258516915256e-32
"Hsd17b12",1.53622533389554e-36,0.581004372703329,0.287,0.074,2.68040596258094e-32
"Nt5dc3",1.93663571436594e-36,0.780818596722817,0.351,0.106,3.3790419944257e-32
"Apoe",4.10905496604145e-36,-1.88799827315434,0.867,0.92,7.16947910474913e-32
"Rims2",7.197113427316e-36,0.978704114917311,0.57,0.234,1.2557523507981e-31
"Ndst3",2.66787256742647e-35,0.947731010017501,0.333,0.102,4.6549040556457e-31
"Gak",9.97903275444471e-35,0.669617352718382,0.272,0.072,1.74114163499551e-30
"Galntl6",1.11692228628587e-34,0.747435555206017,0.728,0.346,1.94880600511159e-30
"Dlg2",1.18636107663428e-34,0.673493632938824,0.996,0.754,2.06996280651149e-30
"Nnat",1.49546000587645e-34,1.99866000517128,0.609,0.315,2.60927861825323e-30
"Elovl4",3.03392147796812e-34,0.738528926489154,0.251,0.065,5.29358619475878e-30
"Cntnap2",3.5064747379247e-34,0.785303465731478,0.871,0.479,6.11809712273102e-30
"Hnrnpll",5.71035816029231e-34,0.670873275667078,0.283,0.078,9.96343291807803e-30
"Sgk1",1.20960482829825e-33,0.66798328922208,0.308,0.09,2.11051850441478e-29
"Sidt1",1.62849806256175e-33,0.81977987136046,0.477,0.177,2.84140341955774e-29
"Ppm1e",1.14269453596028e-32,0.752550989495238,0.896,0.534,1.9937734263435e-28
"Bach2",1.33401597727633e-32,0.728825600109268,0.348,0.111,2.32759107715174e-28
"Tet3",1.49092134932741e-32,0.783284323740581,0.337,0.106,2.60135957030646e-28
"Dnajc1",3.13443851572742e-32,0.869003846989857,0.556,0.233,5.4689683222412e-28
"Nrp1",3.56616200137438e-32,1.01325843788477,0.548,0.243,6.22223945999802e-28
"Gm26835",4.14928153106087e-32,0.71607920577762,0.319,0.097,7.23966641539501e-28
"Gm13944",4.3749614232193e-32,0.84985076916718,0.409,0.147,7.63343269123303e-28
"Garem",5.21425236654315e-32,0.697990829301856,0.466,0.175,9.09782752914449e-28
"Ppp1r12a",5.84999650766728e-32,0.707241625470874,0.416,0.145,1.02070739065779e-27
"Nrd1",9.31648976623331e-32,0.710648063721119,0.312,0.094,1.62554113441239e-27
"Nup98",1.40338384892264e-31,0.686016600642263,0.28,0.08,2.44862413960022e-27
"Dock4",2.59096715326831e-31,0.753867369106459,0.878,0.497,4.52071948902255e-27
"Ext1",1.20802677114402e-30,0.781178887350131,0.573,0.246,2.10776511029208e-26
"Dlgap2",4.21774765290506e-30,0.714371827409556,0.849,0.478,7.35912610478874e-26
"Grin1",4.80177923162654e-30,0.842501190310589,0.699,0.354,8.37814440334199e-26
"Gm28960",7.27980223450768e-30,0.816207204883111,0.258,0.074,1.2701798938769e-25
"Trhde",1.11037579098223e-29,0.920059184897802,0.348,0.12,1.93738368010579e-25
"Snhg11",1.14621479129275e-29,0.603863212544479,1,0.77,1.9999155678476e-25
"Basp1",1.25648596044111e-29,0.757945727799007,0.484,0.195,2.19231670377765e-25
"Chrm3",1.29155551862559e-29,0.733439874430674,0.616,0.283,2.25350606889792e-25
"Arid5b",2.05252608140183e-29,0.70370948890906,0.297,0.091,3.58124750682992e-25
"Klhl7",2.06067971195898e-29,0.683148799137626,0.319,0.102,3.59547396142603e-25
"Ppm1l",2.41066047951535e-29,0.658432344428373,0.341,0.112,4.20612040465838e-25
"Sh3rf1",4.59897255060628e-29,0.681170528625428,0.355,0.123,8.02428730629784e-25
"Cst3",6.52148518074516e-29,-1.42505140108561,0.914,0.88,1.13786873433642e-24
"Man1a",7.04524442237104e-29,0.719549476921145,0.419,0.156,1.2292542468153e-24
"Cltc",7.34477657560507e-29,0.69050278933587,0.398,0.142,1.28151661691157e-24
"Cnnm1",8.02820321833031e-29,0.551034866325036,0.28,0.083,1.40076089753427e-24
"Ndfip1",9.12351454334091e-29,0.717240252925181,0.437,0.166,1.59187081752212e-24
"Rell2",1.3066314551209e-28,0.732313982262458,0.373,0.134,2.27981056289494e-24
"Syt1",2.45425412898182e-28,0.612188303700125,0.989,0.719,4.28218260424747e-24
"Tmem178b",2.56998852237915e-28,0.752623544349816,0.538,0.233,4.48411597384714e-24
"Syt4",2.68795311907036e-28,0.602001697404949,0.276,0.083,4.68994060215397e-24
"Cacnb2",4.31268962533158e-28,0.704568845405389,0.853,0.479,7.52478085827853e-24
