"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lhfpl3",3.29045598878679e-112,2.7228249074125,0.868,0.093,5.74118760923519e-108
"Pdgfra",3.63888145953093e-63,1.12192375789258,0.25,0.013,6.34912037058956e-59
"Gm38505",3.83616329593008e-62,1.72590838697094,0.544,0.059,6.6933377187388e-58
"Arhgap31",5.1018929180226e-47,1.53033219065206,0.456,0.053,8.90178276336583e-43
"Pcdh15",8.98322695981478e-35,1.57182537705276,0.765,0.184,1.56739343994848e-30
"Sox10",4.28666595125645e-30,1.05195864852592,0.25,0.026,7.47937475175226e-26
"Adarb2",1.72716581050576e-28,0.964433092228471,0.868,0.236,3.01355890617044e-24
"Nxph1",6.78108617535887e-27,1.42075782684511,0.456,0.084,1.18316391587662e-22
"Erbb4",2.25307157718998e-20,0.370232048895876,0.559,0.136,3.93115928788108e-16
"Tnr",3.26396326001422e-18,1.45319838512459,0.735,0.315,5.69496309607282e-14
"Brinp3",4.76950908962323e-18,0.982080058273899,0.588,0.17,8.32183945957461e-14
"Sox8",3.4983631336754e-17,1.17174128301447,0.353,0.077,6.10394399563684e-13
"Lrrtm4",3.38113788902912e-16,0.993518284565412,1,0.593,5.89940938877801e-12
"Ptprz1",1.01598962644028e-14,0.839579856827161,0.662,0.223,1.77269870021301e-10
"Lrrc4c",3.00424794376532e-14,0.883972097622125,0.941,0.549,5.24181181228172e-10
"Zeb1",1.70009646884489e-13,1.14167945763103,0.441,0.136,2.96632831884057e-09
"Grid2",1.99427010717747e-13,0.870966069464248,0.779,0.353,3.47960248300325e-09
"AI854517",4.8858701299624e-13,1.00859797414922,0.279,0.064,8.52486620275839e-09
"Pcdh11x",5.42478857762838e-13,1.0004862197175,0.338,0.086,9.465171110246e-09
"Dscam",8.6183298739848e-13,1.22392799959137,0.676,0.312,1.50372619641287e-08
"Gm28376",3.70613066538616e-12,0.958743871440336,0.765,0.391,6.46645678496577e-08
"Grin3a",9.82324357147145e-12,1.01512841177146,0.279,0.069,1.71395953835034e-07
"Stxbp6",1.8924107828543e-11,1.05719025715915,0.588,0.231,3.30187833392417e-07
"Il1rapl1",2.25013147439558e-11,0.87584734034438,0.912,0.612,3.9260293965254e-07
"Sorcs1",2.48936001446771e-11,0.739004288825078,0.324,0.087,4.34343535324325e-07
"Cntn6",5.93486254819231e-11,0.812976696275476,0.265,0.065,1.03551481740859e-06
"Ncald",1.01547848327677e-10,1.04918809807284,0.5,0.194,1.7718068576213e-06
"Usp2",2.17482651572741e-10,0.913724432941432,0.324,0.095,3.79463730464118e-06
"Snhg11",2.28135611757923e-10,-1.92377851148106,0.765,0.772,3.98051015395224e-06
"Gm20388",4.32456077541954e-10,0.6424212012793,0.985,0.842,7.54549364095201e-06
"Kcnd2",7.79528754565883e-10,0.690220049523884,0.956,0.675,1.36012177096655e-05
"Sox6",8.11425398488148e-10,0.799159962887836,0.279,0.075,1.41577503528212e-05
"Tmem108",1.09438820848124e-09,0.854879667732678,0.706,0.343,1.90948854615807e-05
"Csmd3",1.4704613032571e-09,0.789913005938578,0.853,0.528,2.56566088192299e-05
"Brinp1",1.51981717982099e-09,0.917258682335267,0.75,0.382,2.65177701535167e-05
"Agap1",1.52878732953846e-09,0.894286122489991,0.382,0.132,2.6674281325787e-05
"Ahcyl2",1.68033745746735e-09,0.874065767748381,0.721,0.383,2.93185279578904e-05
"Bcan",2.14622788169252e-09,0.690607201354292,0.485,0.184,3.74473840797711e-05
"Frmd4b",2.83804925313733e-09,0.864537040670856,0.485,0.188,4.95182833687402e-05
"Ncam2",4.97556091811378e-09,0.924941643337039,0.721,0.377,8.68135868992493e-05
"Cntnap2",7.08845645240476e-09,-2.59822583770092,0.176,0.483,0.000123679388181558
"Nrg2",7.32407636441506e-09,0.991500593073967,0.324,0.108,0.000127790484406314
"Cald1",1.0714156393968e-08,0.950185065806553,0.265,0.077,0.000186940600761953
"Maml3",1.40575801829725e-08,0.976831171113746,0.279,0.086,0.000245276659032505
"Nkain2",2.14260433902831e-08,0.643335933522795,0.956,0.663,0.000373841605073659
"Serpine2",2.37750884923724e-08,0.346336362020238,0.485,0.179,0.000414827744014913
"Cdh13",3.29572359456391e-08,0.788897072498757,0.353,0.124,0.000575037852779511
"Ctnna3",4.19950083513293e-08,0.791555705958694,0.485,0.206,0.000732728905713994
"Dock10",5.11216089785039e-08,0.759530273901827,0.515,0.223,0.000891969833456936
"Pid1",6.25018183128918e-08,0.825131392201855,0.485,0.217,0.00109053172592334
"Spon1",6.70657742510647e-08,0.798778414670588,0.338,0.12,0.00117016362913258
"Dgkh",7.74866715720593e-08,1.02510455008758,0.382,0.148,0.00135198744558929
"Fgf14",8.67189776791557e-08,0.62203873627855,0.941,0.689,0.00151307272254591
"Pde4b",8.74087116447418e-08,0.523081432972028,0.485,0.21,0.00152510720077745
"Sh3d19",9.86717616706731e-08,0.739038512618583,0.294,0.099,0.0017216248976299
"Inpp4b",1.18747244679855e-07,0.807097425687158,0.397,0.153,0.00207190192517411
"Trpm3",1.21404846195566e-07,0.70487007020026,0.662,0.359,0.00211827175642023
"Lrp1b",1.32167083568352e-07,0.602306150351627,0.971,0.767,0.0023060512741006
"Pde7b",1.70664998877804e-07,0.695591204422921,0.324,0.111,0.00297776290041993
"Ppfia2",1.72391899172324e-07,0.714527807979069,0.794,0.458,0.00300789385675871
"Rfx3",1.75741413575403e-07,0.753543726914581,0.574,0.274,0.00306633618406363
"Ifi27",2.16635389482822e-07,0.681581101010565,0.412,0.168,0.00377985427569628
"Cadm2",2.25940172279216e-07,0.529521477064974,0.985,0.794,0.00394220412592776
"Mmp16",2.52013773936705e-07,0.937807979152239,0.632,0.35,0.00439713632764763
"Fchsd2",2.68825452026981e-07,0.720290483149028,0.368,0.144,0.00469046648696676
"Lingo2",2.89296748557069e-07,0.614590053963052,0.824,0.496,0.00504764966882375
"Prdm5",3.74275246817577e-07,0.680594797404069,0.25,0.077,0.00653035450647308
"Fam19a2",3.872765625321e-07,0.680515893779283,0.529,0.245,0.00675720146306008
"Csmd2",3.97311109058513e-07,0.822928347353827,0.426,0.19,0.00693228423085294
"Epn2",5.11086734696142e-07,1.04836598645292,0.324,0.128,0.00891744134697828
"Cdh9",8.8989614232043e-07,0.690465812567931,0.529,0.252,0.0155269078912069
"Sgcd",9.26092811090736e-07,0.52145757653192,0.5,0.238,0.0161584673679112
"Pard3",1.01314511378359e-06,0.748807375829219,0.294,0.106,0.0176773559452961
"Shisa9",1.05819232073014e-06,0.698538332069617,0.324,0.122,0.0184633396120994
"Gatm",1.09614830795954e-06,0.603186594608834,0.279,0.097,0.0191255956772781
"Kirrel3",1.12698845090542e-06,0.624466131221865,0.779,0.425,0.0196636944913978
