"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Erbb4",0,1.70324824848235,0.571,0.123,0
"Brinp3",0,2.45150133366765,0.614,0.157,0
"Lrrc4c",0,2.02838162418949,0.886,0.54,0
"Lhfpl3",0,4.74139797428499,0.906,0.069,0
"Pdgfra",0,2.60631081301117,0.283,0.005,0
"Nxph1",0,2.82004418406409,0.518,0.071,0
"Ptprz1",0,2.25834491498261,0.674,0.21,0
"Pcdh15",0,3.18323984144213,0.801,0.166,0
"Vcan",0,2.44376450813652,0.256,0.013,0
"Sox10",0,2.60379620688117,0.321,0.017,0
"Arhgap31",0,2.84752842508761,0.429,0.042,0
"Gm38505",0,3.19083486511679,0.497,0.046,0
"Kcnip4",1.60175530805664e-283,-3.58970089871389,0.154,0.744,2.79474266149722e-279
"Grin2b",5.61179655348635e-279,-2.96202031362468,0.087,0.73,9.79146262652299e-275
"Dscam",3.35933556176722e-271,2.37362320684292,0.672,0.301,5.86136868817144e-267
"Tnr",1.30951102585566e-268,2.4685364600516,0.668,0.305,2.28483483791295e-264
"Syt1",9.62743011647586e-254,-2.5210818533141,0.14,0.739,1.67979400672271e-249
"Tenm2",3.74845802485567e-251,-2.8199542894193,0.204,0.749,6.54030956176818e-247
"Serpine2",4.09165075315924e-248,2.12052558914975,0.535,0.168,7.13911223411224e-244
"Sox6",1.05305346619903e-245,2.08878358175721,0.342,0.067,1.83736768782407e-241
"Grid2",2.34407747650767e-242,2.04902633872812,0.701,0.343,4.08994638101059e-238
"Nkain2",1.46057120588323e-227,-2.70461903796311,0.089,0.682,2.54840464002507e-223
"Gpc5",1.06982182380995e-224,1.42072684492239,0.668,0.242,1.8666251181836e-220
"Celf2",4.11250548154796e-214,-1.83538971524337,0.374,0.812,7.17549956420488e-210
"Matn4",2.32120877863208e-209,2.00735749672143,0.26,0.045,4.05004507695726e-205
"Ube3a",7.76261549073681e-205,-2.18605151527733,0.136,0.693,1.35442115082376e-200
"Xylt1",1.02837050289417e-201,2.30973984613765,0.42,0.126,1.79430085344975e-197
"Gria1",5.01521941092522e-197,-2.36541726906798,0.1,0.646,8.75055482818233e-193
