"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cped1",0,2.99188176585844,0.406,0.012,0
"Slc6a13",0,2.92326739323334,0.35,0.002,0
"Nupr1",0,2.41502232201995,0.269,0.005,0
"Slc6a20a",0,3.22043622245552,0.432,0.006,0
"Vtn",0,3.78280853519151,0.513,0.028,0
"Colec12",0,2.7472182887455,0.321,0.01,0
"Bmp6",0,2.64702161158953,0.291,0.008,0
"Ranbp3l",6.6736018385766e-265,3.13405788979658,0.325,0.017,1.16441004879485e-260
"Igfbp2",5.01814565084349e-179,2.61565060938777,0.286,0.019,8.75566053159172e-175
"Slc7a11",3.75710807260942e-153,3.17224705255532,0.487,0.066,6.55540216508891e-149
"Ptgds",6.89166074308294e-121,5.13009791747764,0.701,0.199,1.20245696645311e-116
"Atp1a2",1.18482642091544e-111,2.65298238324612,0.662,0.166,2.06728513921326e-107
"Apod",7.82543592916191e-106,2.99141410137133,0.538,0.116,1.36538206092017e-101
"Lsamp",2.82476292381446e-81,-1.92856083633809,0.436,0.938,4.92864634947147e-77
"Csmd1",1.01104037172158e-75,-2.72910582849128,0.179,0.793,1.76406324057982e-71
"Nrg3",1.46964992747087e-73,-3.05431841830294,0.162,0.762,2.56424519345118e-69
"Opcml",1.88487357943622e-72,-2.97392040305988,0.167,0.757,3.28872742140032e-68
"Tenm2",1.27769918992923e-69,-3.31982970915387,0.145,0.736,2.22932954658852e-65
"Meg3",2.32309269208738e-67,-2.68423505201715,0.662,0.905,4.05333212915406e-63
"Kcnip4",3.45692134675224e-67,-3.41249310979847,0.162,0.73,6.0316363658133e-63
"Dlg2",7.47279190802039e-67,-2.55616834442393,0.188,0.761,1.3038527321114e-62
"Cp",1.52089483801454e-63,2.0561230963374,0.274,0.047,2.65365731336777e-59
"Dlgap1",3.7375912155773e-62,-2.08800973160154,0.252,0.796,6.52134915293927e-58
"Grm5",1.38432397521973e-60,-2.58503305450939,0.128,0.706,2.41536847196339e-56
"Fgf14",3.29556596462521e-60,-2.56888500721957,0.098,0.694,5.75010349507806e-56
"Syt1",7.50712077311727e-60,-2.42230186846059,0.171,0.725,1.3098424324935e-55
"Grin2b",1.06658655718113e-59,-2.51213377974267,0.158,0.715,1.86098022496964e-55
"Nlgn1",1.2585597967067e-59,-2.0970175897397,0.226,0.775,2.19593513329384e-55
"Adgrb3",3.28638779260556e-58,-2.19245469512114,0.171,0.743,5.73408942053818e-54
"Wls",8.70282713068106e-57,1.85910755390339,0.274,0.05,1.51846927776123e-52
"Kcnd2",1.14698948620233e-56,-2.59627595357056,0.115,0.679,2.00126725552582e-52
"Gria1",3.71783928394357e-56,-2.86876238500522,0.064,0.633,6.48688598262474e-52
"Lrp1b",2.96311812476283e-54,-1.96638238750884,0.226,0.772,5.17004850408618e-50
"Dab1",3.13966823109244e-54,-2.51487702262636,0.103,0.661,5.47809312961008e-50
"Cadm2",1.28040179402014e-53,-1.86560702870632,0.274,0.798,2.23404505020634e-49
"Ube3a",3.87056289457067e-53,-2.36276676080922,0.145,0.68,6.7533581384469e-49
"Ptn",1.20407162704716e-51,1.86205371537467,0.662,0.304,2.10086417487189e-47
"Fam155a",2.24544406778915e-50,-2.34514251118732,0.068,0.608,3.91785080947851e-46
"Anks1b",3.33122158740465e-50,-2.06049374878216,0.171,0.698,5.81231542570363e-46
"Nrxn3",3.59220671543524e-50,-3.00181792101552,0.111,0.633,6.2676822770914e-46
"Nrxn1",2.01312048832887e-49,-1.69003355522745,0.282,0.803,3.51249262803622e-45
"Gm20642",2.84430371619957e-48,-2.70052210028789,0.038,0.561,4.96274112402501e-44
"Ank3",2.46762761320375e-47,-2.23776682818604,0.085,0.609,4.30551665951791e-43
"Lrrc7",4.84019424084065e-46,-2.43018284560967,0.051,0.565,8.44517091141877e-42
"Il1rapl1",1.27648994365986e-45,-2.30177061637064,0.115,0.616,2.22721965369772e-41
"Isyna1",6.17208832520608e-45,1.91446059327252,0.274,0.062,1.07690597098196e-40
"Lrrtm4",6.44330050365532e-44,-2.97391763284416,0.128,0.598,1.12422707187778e-39
