"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rgs20",0,1.82380048917903,0.513,0.081,0
"Igfbp5",0,2.39670835545567,0.478,0.039,0
"Acsl3",0,1.72843843457625,0.484,0.101,0
"Gpr37l1",0,1.73990512731863,0.59,0.131,0
"Glul",0,1.94115040944289,0.72,0.239,0
"Prdx6",0,2.24716449741414,0.775,0.208,0
"Myoc",0,3.60807904995056,0.387,0.019,0
"Atp1a2",0,1.82975080030499,0.704,0.151,0
"Vim",0,2.16062793568003,0.39,0.042,0
"Gsn",0,1.66258847139662,0.3,0.04,0
"Slc1a2",0,2.4705715253518,0.941,0.297,0
"Cst3",0,1.78148134757361,0.994,0.876,0
"Id1",0,1.70914727799422,0.271,0.022,0
"Sdc4",0,1.72902015832898,0.328,0.038,0
"Tmem47",0,2.17358324233155,0.533,0.07,0
"Gpm6b",0,1.85731173638485,0.887,0.48,0
"F3",0,1.75237496497404,0.553,0.107,0
"Bmpr1b",0,1.8219908204943,0.391,0.042,0
"Plpp3",0,2.01054433997297,0.783,0.166,0
"Id3",0,3.2494209839248,0.741,0.074,0
"Padi2",0,1.71537189878702,0.306,0.028,0
"Fbxo2",0,1.8097436388551,0.42,0.084,0
"Sparcl1",0,2.18625424465138,0.896,0.345,0
"Tprkb",0,1.77847217832159,0.447,0.08,0
"Cd9",0,1.83606811697431,0.615,0.144,0
"Apoe",0,2.84180527895088,1,0.916,0
"Fxyd1",0,2.17052698293133,0.487,0.065,0
"Cd81",0,2.0224742939409,0.938,0.473,0
"Gja1",0,2.08966776556139,0.69,0.13,0
"Cd63",0,1.83007580329211,0.456,0.075,0
"Cpe",0,2.11068274198495,0.96,0.607,0
"Mt2",0,2.65888495475773,0.875,0.267,0
"Mt1",0,2.19863873487169,0.957,0.555,0
"Lcat",0,1.69418175924983,0.308,0.036,0
"Ndrg2",0,1.68220946735617,0.748,0.233,0
"Clu",0,2.75595852816039,0.965,0.418,0
"Cspg5",0,1.6709477400343,0.577,0.147,0
"Atp1b2",0,1.8796763449847,0.545,0.111,0
"6330403K07Rik",0,2.12957693528706,0.658,0.21,0
"Aldoc",0,2.09021399298694,0.836,0.305,0
"Gfap",0,3.60133976782136,0.938,0.259,0
"Id4",0,2.5448036548582,0.637,0.069,0
"Ntsr2",0,1.99648404688396,0.721,0.182,0
"Id2",0,2.30880512573281,0.614,0.11,0
"Meg3",0,-2.99275796036898,0.674,0.911,0
"Ckb",0,2.0725927827204,0.925,0.509,0
"Slc1a3",0,1.7125619700019,0.735,0.214,0
"Angpt1",0,1.49077133432869,0.259,0.027,0
"Mlc1",0,2.17755627566172,0.611,0.088,0
"Tagln3",0,1.94205643732618,0.617,0.162,0
"C4b",0,1.81267103206508,0.403,0.053,0
"Pla2g7",0,1.85360015609156,0.598,0.111,0
"Aqp4",0,2.82724351196878,0.628,0.048,0
