"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Inpp5d",0,2.65761667071346,0.259,0.007,0
"Hmha1",0,3.65259225682492,0.47,0.008,0
"Tgfbr1",7.43918685762244e-260,2.84349380259606,0.359,0.041,1.29798932291796e-255
"Plxdc2",1.19633561626381e-247,3.14104872737387,0.532,0.1,2.0873663832571e-243
"Lsamp",2.31961226639934e-221,-2.81976795830794,0.307,0.944,4.04725948241357e-217
"Hexb",6.58337469929156e-161,2.46742819989477,0.311,0.048,1.14866721753239e-156
"Csmd1",1.95179603465277e-157,-2.78871057512236,0.138,0.798,3.40549372126216e-153
"Nrg3",1.91049773765442e-144,-2.87200760754677,0.163,0.767,3.33343645265944e-140
"Dlg2",4.0876709884992e-141,-2.69782042380103,0.163,0.765,7.1321683407334e-137
"Nlgn1",4.76733120128809e-139,-2.47788985235811,0.136,0.781,8.31803948000746e-135
"Opcml",6.63392699182245e-139,-2.81459411478376,0.173,0.762,1.15748758153318e-134
"Fth1",2.10400719513415e-135,1.3985633892816,0.952,0.874,3.67107175407007e-131
"Cadm2",2.25151236454076e-135,-2.32868050956835,0.175,0.804,3.92843877365071e-131
"Dlgap1",2.07723075380005e-134,-2.25107508804094,0.184,0.802,3.62435221923032e-130
"Cst3",7.88840294823179e-133,1.26810525115203,0.965,0.879,1.37636854640748e-128
"Kcnip4",8.94682624278362e-132,-3.31040541362121,0.188,0.734,1.56104224284089e-127
"Tenm2",1.63280682764188e-131,-2.86378005672813,0.157,0.741,2.84892135286956e-127
"Pcdh9",6.35768324727722e-128,-2.1409597881883,0.211,0.822,1.10928857298493e-123
"Tmsb4x",1.79068649368788e-127,1.51918201030353,0.9,0.783,3.12438979418661e-123
"Fgf14",1.32893445954552e-126,-2.69609703679893,0.073,0.699,2.31872484501503e-122
"Lrp1b",4.1276576320939e-125,-2.36206038215388,0.169,0.777,7.20193703647743e-121
"Adgrb3",1.31789324790703e-124,-2.34025029925258,0.123,0.748,2.29946013894818e-120
"Kcnd2",5.87974741858869e-121,-2.7669316181229,0.077,0.684,1.02589832959536e-116
"Magi2",1.52197787916281e-119,-2.27653146608478,0.102,0.725,2.65554700356326e-115
"Tmcc3",9.83790200029406e-119,2.36590531573404,0.347,0.077,1.71651714101131e-114
"Celf2",1.20415981749249e-118,-2.02781237545068,0.307,0.806,2.1010180495609e-114
"Nrxn1",8.30448039040491e-117,-2.00518963644477,0.215,0.808,1.44896573851785e-112
"Ubb",1.10609556404028e-112,1.43060958485428,0.879,0.763,1.92991554013748e-108
"Grin2b",1.60029442131012e-108,-2.17171993341191,0.157,0.719,2.7921937063019e-104
"Apoe",6.62119317331671e-108,0.815615450166403,0.992,0.918,1.1552657848803e-103
"Dab1",3.27729855548386e-107,-2.38022471171754,0.09,0.665,5.71823051960824e-103
"Mdga2",2.04213146812448e-106,-2.24069749433442,0.081,0.667,3.5631109855836e-102
"Ccnd3",1.11098747525059e-105,2.23793762912235,0.307,0.067,1.93845094681723e-101
"Meg3",3.33227504228468e-103,-2.23158882552963,0.72,0.906,5.8141534937783e-99
"Ptprd",3.14994410692773e-102,-2.45014555628452,0.203,0.724,5.4960224777675e-98
"Auts2",2.11250336169654e-101,-2.17235618693326,0.084,0.651,3.68589586548813e-97
"Syt1",2.4360883199964e-97,-1.90298354034075,0.225,0.729,4.25048690072972e-93
"Nkain2",2.98011657750878e-97,-2.22539429061179,0.119,0.672,5.19970740443731e-93
"Ube3a",2.37400067241719e-96,-2.03698204275231,0.144,0.684,4.14215637323351e-92
"Gm20642",3.94559213447031e-94,-2.43048795913132,0.033,0.565,6.88426915622379e-90
"Grm5",1.12356814798875e-93,-1.91830427346193,0.177,0.71,1.96040170461076e-89
"Fam155a",9.1906075843829e-93,-2.04119173545668,0.073,0.612,1.60357721132313e-88
"Il1rapl1",2.24116702533289e-92,-2.15856773436195,0.079,0.621,3.91038822580082e-88
"Macrod2",3.51899340850834e-91,-2.12136838966188,0.084,0.619,6.13993969916535e-87
"Mbp",7.06165791220553e-91,1.38359566824677,0.862,0.774,1.23211807252162e-86
"mt-Co3",1.69413596704847e-88,1.58298028207198,0.775,0.623,2.95592843530617e-84
"Epha6",1.9677359451091e-88,-2.63967529365956,0.069,0.577,3.43330567702636e-84
"Gabrb1",2.5520853110664e-84,-1.90439540585675,0.109,0.636,4.45287845074865e-80
"Rbfox1",6.72864974695023e-84,-1.94782204457256,0.109,0.624,1.17401480784788e-79
"Ank3",1.42961164022693e-82,-1.88405865942211,0.096,0.612,2.49438638986794e-78
"Lrfn5",8.15778653395067e-82,-2.12905669939652,0.052,0.547,1.42337059444371e-77
"Nrxn3",2.60964862215629e-81,-2.16939477423122,0.163,0.636,4.55331491593829e-77
"Ctnna2",1.04577590469412e-80,-1.92611589441781,0.071,0.577,1.8246697985103e-76
"Lrrtm4",2.10555302231382e-80,-2.70074960702982,0.15,0.601,3.67376891333316e-76
"Anks1b",7.26682520449289e-80,-1.624372890877,0.2,0.701,1.26791566167992e-75
"Lrrc7",3.23653386504093e-78,-1.8994350142188,0.073,0.569,5.64710428772341e-74
"4930419G24Rik",5.84689790151985e-78,-3.18914041948473,0.033,0.495,1.02016674585718e-73
"Negr1",2.11602328956182e-77,-2.14580439905949,0.061,0.54,3.69203743562747e-73
"Calm2",3.61949325055487e-77,1.18235325675103,0.839,0.803,6.31529182356813e-73
"Gria1",4.72496335985123e-77,-1.84565373102521,0.15,0.637,8.24411607026842e-73
"Ctnnd2",2.23420469874788e-76,-1.85091839343026,0.079,0.574,3.8982403583753e-72
"Adgrl3",1.62905888757029e-75,-1.96993189122264,0.071,0.549,2.84238194703264e-71
"Grin2a",7.17523199656996e-74,-1.99911471178577,0.081,0.554,1.25193447876153e-69
"Phactr1",3.23845914483842e-73,-2.09050929960812,0.056,0.52,5.65046351591407e-69
"Rims1",1.23204814359602e-71,-1.95044902850143,0.058,0.521,2.14967760094633e-67
"Grm7",5.27477663002501e-71,-1.89815429748565,0.079,0.545,9.20343026406764e-67
"Lingo2",1.04206651492482e-70,-2.39996540652074,0.061,0.504,1.81819765524082e-66
"C1qa",5.59875922914611e-70,2.09834554982264,0.278,0.076,9.76871510301414e-66
"Grik2",2.72109559849097e-69,-1.89650035504978,0.058,0.512,4.74776760024705e-65
"Prickle1",4.57085531445613e-69,-1.63648126651405,0.098,0.57,7.97522835266305e-65
"Nrg3os",9.18559034330076e-69,-2.13196951905348,0.027,0.46,1.60270180309912e-64
"Rps29",1.00282583673562e-68,1.41514322243223,0.701,0.525,1.74973051993631e-64
"Frmpd4",3.64818869640061e-68,-2.14115598846729,0.063,0.506,6.36535963747979e-64
"Erc2",9.39894208740363e-68,-1.91763759461121,0.052,0.495,1.63992741541019e-63
"Lrrc4c",2.09798464553961e-67,-2.03662857111788,0.104,0.557,3.66056360953751e-63
"Cttnbp2",6.34157420466573e-66,-1.66787424896633,0.102,0.559,1.10647786723008e-61
"Dmd",7.67247262887033e-66,-1.86085087072049,0.061,0.5,1.3386930242853e-61
"Dlgap2",1.25688193895384e-65,-1.80740704926866,0.05,0.488,2.19300760708666e-61
"Fam19a1",3.28762592881207e-65,-2.14357525275798,0.079,0.502,5.7362497205913e-61
"B3galt1",3.55816976617604e-65,-1.73135689488477,0.069,0.514,6.20829460802395e-61
"Xkr4",3.04118130532974e-64,-1.97984676773536,0.029,0.445,5.30625314153933e-60
"Ank2",3.2329122826952e-64,-1.25156757328469,0.194,0.691,5.64078535084658e-60
"Cacnb2",3.71111938871261e-64,-2.04060446670783,0.063,0.489,6.47516110942576e-60
"Ctsd",2.8337723954715e-63,1.99429887096691,0.436,0.197,4.94436607561867e-59
"Ppfia2",7.62477629512915e-63,-1.87650419605811,0.046,0.465,1.33037096797413e-58
"Ccser1",1.2048683724522e-60,-1.87063621299466,0.042,0.449,2.10225433625459e-56
"Kirrel3",1.92314634055116e-60,-2.19145139510081,0.033,0.431,3.35550573499366e-56
"Nrcam",4.83668561534027e-60,-1.53822982083607,0.077,0.506,8.43904906164571e-56
"St6galnac5",7.59664626899366e-60,-1.70139840324286,0.073,0.495,1.32546284101401e-55
"P2ry14",1.20092548346052e-59,-2.02619069131928,0.019,0.405,2.09537478354192e-55
"Epha5",1.45045672893562e-59,-1.80456288168568,0.05,0.457,2.53075690064687e-55
"Map2",2.48099447352291e-59,-1.40397171127593,0.119,0.566,4.32883915740278e-55
"Nebl",4.18715021021448e-59,-1.83488854309305,0.038,0.437,7.30573968678222e-55
"Kctd16",6.77628719105674e-59,-2.09731006224488,0.017,0.401,1.18232658909558e-54
"Sntg1",8.8656534035709e-59,-1.87409816313414,0.025,0.415,1.54687920585505e-54
"Dcc",1.05773847922832e-58,-1.89127760224623,0.046,0.446,1.84554209855757e-54
"Slit3",1.10830259103748e-58,-1.90199879463907,0.033,0.428,1.93376636084219e-54
"Egfem1",1.28286533953323e-58,-2.1719728149801,0.04,0.431,2.23834344441759e-54
"Fgf13",2.73293517928084e-58,2.20962330110551,0.347,0.131,4.76842530080922e-54
"Ppm1e",2.76053385100946e-58,-1.45673466884376,0.111,0.544,4.8165794632413e-54
"Gabrb3",3.94105472640563e-57,-1.61121690950927,0.069,0.478,6.87635228663254e-53
"Prkce",1.37901412358118e-56,-1.57825824426705,0.069,0.477,2.40610384282444e-52
"Kalrn",1.43791337735782e-56,-1.40477628587643,0.136,0.574,2.50887126081393e-52
"mt-Co1",1.78129167273118e-56,1.41580146688774,0.67,0.521,3.10799771058136e-52
"Ntm",8.23821417999691e-56,-2.014688727917,0.123,0.518,1.43740361012586e-51
"Gm28376",1.3674186420046e-55,-2.16569920608505,0.025,0.397,2.38587204656962e-51
"mt-Nd1",1.59010976973453e-54,1.52100894179557,0.589,0.394,2.77442352623281e-50
"Dgkb",4.14233229672063e-54,-1.88755276412908,0.025,0.392,7.22754139131815e-50
"Ncam1",6.87192182579983e-54,-1.48338694155613,0.086,0.49,1.19901292016555e-49
"4430402I18Rik",7.79175952779459e-54,-1.57596942913248,0.052,0.44,1.3595062024096e-49
"Tcf4",9.96130009589318e-54,-1.13661755627846,0.223,0.685,1.73804764073144e-49
"Cpeb3",1.26483223134576e-51,-1.52913599746354,0.061,0.443,2.20687927725209e-47
"Msra",1.98224793974363e-51,-1.55714670928332,0.058,0.436,3.45862620526469e-47
"Ryr2",3.68349881024421e-51,-1.64286090518849,0.033,0.394,6.42696872411409e-47
"Nbea",2.61592916492385e-50,-1.34254615290853,0.096,0.492,4.56427320695913e-46
"Ptprn2",2.83193639631093e-50,-1.77388570229551,0.023,0.37,4.9411626242833e-46
