cluster,index,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
18,2,Adgra1,0.0,1.33663680628436,0.465,0.082,0.0
18,3,Slc35f1,0.0,1.67812825584347,0.749,0.167,0.0
18,4,Sgcz,0.0,1.18833688664547,0.76,0.205,0.0
19,0,Xkr4,0.0,1.50952531236439,0.889,0.421,0.0
19,1,Myo16,0.0,1.25278501646596,0.341,0.059,0.0
19,2,Unc5d,0.0,1.94199506670505,0.772,0.228,0.0
19,3,4930555F03Rik,0.0,2.19808071089126,0.375,0.045,0.0
19,4,Galntl6,0.0,1.60800953480843,0.853,0.328,0.0
20,0,Lhfpl3,3.29045598878679e-112,2.7228249074125,0.868,0.093,5.74118760923519e-108
20,1,Pdgfra,3.63888145953093e-63,1.12192375789258,0.25,0.013,6.34912037058956e-59
20,2,Gm38505,3.8361632959300797e-62,1.72590838697094,0.544,0.059,6.6933377187388e-58
20,3,Arhgap31,5.1018929180226e-47,1.53033219065206,0.456,0.053,8.90178276336583e-43
20,4,Pcdh15,8.98322695981478e-35,1.57182537705276,0.765,0.184,1.5673934399484798e-30
21,0,Slc38a11,7.53102901004918e-129,1.98894730966251,0.364,0.005,1.31401394167338e-124
21,1,Zic4,7.79363371835013e-100,1.93842025513935,0.318,0.005,1.3598332111777301e-95
21,2,Atp13a5,1.0207584794376701e-85,2.5790871546844,0.5,0.013,1.7810193949228399e-81
21,3,Ebf1,7.53340315729788e-84,2.53678771041691,0.5,0.014,1.3144281828853299e-79
21,4,Slc6a20a,1.17652601283531e-83,2.44573867849604,0.409,0.009,2.05280258719505e-79
