"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Ahi1",0.756466430579336,0.16744105833599,0.097731997030518,9.88454780511695e-07,1.46257800574019e-05
"mt-Atp6",0.704279910038528,-0.0024888139449114,0.0534749840519517,1.05589221990243e-06,1.53632317995803e-05
"Stmn3",0.579978621244645,0.196991049545074,0.12089056353726,1.19574115204235e-06,1.71128200939831e-05
"Bcl11a",0.629538837944565,-0.307309135701049,0.104763656356046,1.25726936587436e-06,1.77031638130374e-05
"Rps27rt",0.712428991465449,0.030212179130799,0.0596521442736025,1.35079317060419e-06,1.87181339355152e-05
"Hs6st3",2.47739489419207,-0.220293723656368,0.0634882100433682,1.58905012519965e-06,2.16756368640514e-05
"Ptprd",10.3707005928586,-0.158094668932888,0.0474178564840897,1.66790536712106e-06,2.24012520845644e-05
"Edil3",0.707907479872843,-0.0286910856594328,0.0596894490290045,2.76910600424253e-06,3.66277203288444e-05
"Prickle1",1.61416415873775,0.198284068595459,0.0634242121809212,2.8653355260139e-06,3.73348942419423e-05
"2900055J20Rik",0.5476574880903,0.239046146471259,0.114014378726335,2.93395127394995e-06,3.76667567964457e-05
"Ube3a",2.76065159264722,-0.0428114536959636,0.0417420197909297,3.05207986152597e-06,3.86154452045243e-05
"Cpe",0.910874636070123,0.0292148150835583,0.0541997615828442,3.54241953856198e-06,4.41790322452087e-05
"Cox7c",0.580002057772433,0.0609368120187553,0.0816138017896167,3.76749600546591e-06,4.63242818700244e-05
"Agbl4",0.806892517257659,-0.291052457197925,0.106333465091661,3.84653471848717e-06,4.66392334616569e-05
"App",0.620550387756174,0.188346274694917,0.116286140338322,4.26265453812507e-06,5.00437525453627e-05
"Dmd",0.990172153916921,-0.315002947235891,0.083581049624889,4.30189036240079e-06,5.00437525453627e-05
"Cox6a1",0.550211809612925,0.00849029928596984,0.0545025731069926,4.33528954418037e-06,5.00437525453627e-05
"Dynll1",0.779872863520369,0.023693333863405,0.0557391881246044,4.35661534186434e-06,5.00437525453627e-05
"Atpif1",0.64140459761827,0.0749874211367965,0.0903319809764479,4.60897978085535e-06,5.18658000416854e-05
"Csmd1",5.48048556481998,-0.178543184910962,0.0480102843120282,4.63405773568323e-06,5.18658000416854e-05
"Nav2",0.747372232949142,-0.0683132606538626,0.0844767398270551,5.8186505528364e-06,6.42962221548853e-05
"Ank3",1.37784758603483,-0.0587545093985994,0.0613183988540364,5.89197912072259e-06,6.42962221548853e-05
"Kcnq5",2.35587736495363,-0.128740846217143,0.0795726907853405,7.0300064614291e-06,7.57678474176247e-05
"Adgrb3",2.4464150981865,-0.169187869116635,0.0632367898488401,7.80788275093704e-06,8.31253858727809e-05
"Kcnj3",0.519873971508566,-0.211243358002256,0.146073373064792,8.31754604364632e-06,8.74845505554606e-05
"4921511C10Rik",0.871211478558401,0.246513517298161,0.106717702356548,9.09274287010168e-06,9.44995776856996e-05
"Aplp1",0.606112816986943,0.195225517372137,0.110704952260427,1.01959010546545e-05,0.000104717901420158
"Vsnl1",0.633846660528583,0.0066367158326918,0.0534017302632654,1.093099086837e-05,0.000110962267768454
"Gria4",1.05174271595079,-0.259418091711513,0.0936488221257548,1.11000729391903e-05,0.000111383490527737
"Cacna2d3",0.901372009200584,-0.317933680881612,0.0878752259520967,1.21248948680745e-05,0.000120284468407148
"Dclk1",0.926802499145449,-0.0986946801878468,0.0882581758536661,1.2965183601694e-05,0.000127175340272796
"Gnas",0.479083257502837,0.0225346400838558,0.0592052208429744,1.425332383081e-05,0.000138257241158857
"Cnksr2",0.493225415354561,-0.376755453140563,0.118973348092005,1.62502674229285e-05,0.000155895422639742
"Lrrc4c",4.64868105484347,-0.206829422675473,0.0681159722243276,1.7116385289205e-05,0.000161831268185454
"Arpp21",1.77266223885064,-0.116594016409257,0.0627219850721047,1.72397570919212e-05,0.000161831268185454
"mt-Co1",0.848059109748789,0.0127384206150523,0.0538869513249324,1.89313299721071e-05,0.000175819692187761
"Celf2",4.80364252691262,-0.191632768356052,0.0546051054678672,1.96057428066325e-05,0.00018016645758095
"Hcn1",0.479299132224588,-0.473073422522508,0.125887424598949,1.99317623625634e-05,0.000181254463984561
"Gm26883",0.97917919182245,0.113526861097485,0.107542849483771,2.23509349127801e-05,0.00020115841421502
"Miat",0.635886811461568,-0.207243748728688,0.105729127698152,2.33601403038916e-05,0.000208095943727524
"Ywhah",0.463799347515397,0.10088859333261,0.129097796099546,2.42595791104645e-05,0.000213925379428641
"Pcdh7",1.02980701318219,-0.323012337906744,0.0984795228339407,2.533290366856e-05,0.000221156249026529
"Ptprn2",1.14026574031032,-0.0306946796521842,0.0555048652024843,2.61431653354737e-05,0.000225970132058105
"B3galt1",1.19237319226401,-0.128259401146121,0.0933813288403226,2.66285972614971e-05,0.000226219084012921
"Cntn3",0.630236800118544,-0.265164031717605,0.118584343520339,2.66902241160721e-05,0.000226219084012921
"Cntn5",2.87572137438497,-0.241120072687511,0.0860815968081411,2.79650281140701e-05,0.000234744899457531
"Bsg",0.434978285006356,0.0796831692753163,0.114468060153142,3.10988810199429e-05,0.000258564982194382
"Gphn",0.725784034875283,-0.230542524045343,0.0959912165786459,3.39296895156759e-05,0.000279439801388538
"Gm26848",1.48302172831587,0.0804513175617723,0.0603134415629597,3.45885878417328e-05,0.000282204085848904
"Cadps",0.75595583925173,-0.236156922173916,0.0950278631607159,3.81085143299424e-05,0.000308043824167034
"Dock4",0.599747431061065,-0.315534344346047,0.112274512178424,3.96924043771745e-05,0.000317903385516269
"Serinc1",0.343572601383464,0.689467636390914,0.144276464441289,4.03028957945891e-05,0.00031985843662433
"Fgf14",2.5668262218686,-0.145538462019733,0.0565289503125696,4.08437095361364e-05,0.000321230256081505
"Tcf4",1.84273389025133,-0.0655842841250304,0.0587853123829028,4.99935611931674e-05,0.000389681954657457
"Nav3",1.66329335111962,-0.0571512501621091,0.0587055278972826,5.28278488650183e-05,0.000408130195213814
"Rogdi",0.60446688715819,-0.300226170573999,0.106096323092578,5.40010699153961e-05,0.000412613399313638
"Rims1",1.07094970127099,-0.188676634773569,0.0822182849087738,5.50157768214038e-05,0.000412613399313638
"Rtn3",0.69149120889516,-0.00588776505185495,0.0514096058049823,5.51256927020432e-05,0.000412613399313638
"Kctd16",1.05046233684792,-0.113915747083577,0.0967547189282806,5.581190153809e-05,0.000412613399313638
"Cdh10",0.569568929935549,-0.178406205264574,0.15519394624526,5.59506298268234e-05,0.000412613399313638
"Ctnnd2",1.08743541684837,-0.0677951640250548,0.0681695129871721,5.62439799751694e-05,0.000412613399313638
"Mdh1",0.500631396070304,0.0429368964937581,0.0683351415184674,5.79006630900983e-05,0.000419124747946336
"Thrb",0.489141635514888,-0.188828866218919,0.158675544011047,5.80917462789308e-05,0.000419124747946336
"Anks1b",2.3612639362813,0.00859063442466835,0.0419344051207251,6.11842335924877e-05,0.000437818327264277
"Gm26917",0.368977650223608,-0.548611583972591,0.129459371024035,6.26156986330567e-05,0.000444418739078524
"Vwc2l",0.381386872129087,-0.605262172232092,0.156354890410779,6.52122482227595e-05,0.000459115263697331
"Cd81",0.53147951860741,-0.0310833771517175,0.061187646973924,6.59766837135491e-05,0.000460781159055427
"Fam155a",1.40387495256518,-0.246394788076826,0.0852591090455808,6.73403457869243e-05,0.000466572395809404
"Kcnb2",1.4391221280508,-0.0227920481437351,0.0515579759165953,7.01417781956432e-05,0.000482155687911783
"Khdrbs2",1.15317065357344,-0.172815832752258,0.0941544740278675,7.16293690376217e-05,0.000488534681014404
"Nell2",0.545336797150357,0.0304315716240734,0.0597252856193655,7.37546753472227e-05,0.000499130477349809
"Dtx3",0.891339401899063,-0.14298695943971,0.0871933148794818,9.07265339365024e-05,0.000609263570204358
"Pde4b",0.458608518002491,0.413054751019556,0.131411802407829,0.000107046800800569,0.000711921523015481
"Pex5l",0.463329644944004,-0.344275549701964,0.149806016409459,0.000107644491452513,0.000711921523015481
"Ubn2",0.530863472373853,-0.156253164614064,0.124057512744424,0.000111723127225229,0.00073334052682425
"Strbp",1.40692235863587,-0.0349207190690271,0.0497957679482028,0.000116020394434108,0.000755864211499826
"Snap25",2.02714177347361,-0.0630455850312362,0.052320245632894,0.000118710006258391,0.000767658040470926
"Macf1",0.840361185983546,-0.00134177054253237,0.0497414012716125,0.000119675921905719,0.000768213822233035
"Tecr",0.799134677801183,0.0101202257265438,0.0500062011780308,0.000125235353195253,0.000795219352508356
"Tecpr2",0.390564006882644,-0.211769323286691,0.181401428143861,0.000125704777372455,0.000795219352508356
"Prkg1",0.693735717215981,-0.303548623582061,0.110167411165235,0.000130868275000717,0.000821928086875007
"Zmat4",0.66777726133627,-0.0195983194069969,0.0572680776322149,0.00013417859362748,0.000829760313905889
"Rims2",0.493479197635671,-0.22863400349649,0.132055474252046,0.000134541466345123,0.000829760313905889
"Lrp1b",3.0486285747187,-0.218230306096806,0.0920473630222057,0.000134966740635322,0.000829760313905889
"Ldb2",0.818620098884332,0.0204325276104064,0.0556033343254553,0.000150335117373937,0.00091078428491874
"Dennd1a",0.461653601813463,-0.38267771923746,0.116158653949645,0.00015078051280684,0.00091078428491874
"Pdlim7",0.555042009936835,-0.2357023539518,0.112657065068146,0.000151275740335873,0.00091078428491874
"Rab3a",0.409516007250567,0.246599712973158,0.151902718285544,0.000152757719993813,0.00091340746270273
"Aldoc",0.356989483457215,-0.452011462431373,0.154288556733562,0.000157713058125846,0.000936622447237166
"Runx1t1",0.536789942660125,-0.0820956498025131,0.102897960723055,0.00016408854889017,0.000967900697169722
"Setbp1",0.504505004878372,-0.3162018405792,0.114161444079769,0.00016621641806379,0.000973872033353617
"Snrnp70",1.06743939344881,0.152704506071215,0.0772537271151072,0.000168445320405219,0.000980351764758374
"Ntm",2.22841698986658,-0.0537139960852602,0.0641272782863026,0.000174313009105912,0.0010077831586057
"Cadm1",1.18845062319004,-0.0267703718514763,0.0536156315184571,0.000179437226188086,0.00103058354251447
"Oaz1",0.454885839332322,0.0237013942749332,0.059404002019291,0.000185631395156376,0.00105919090177461
"Gabarapl2",0.248316148465478,1.38873956287176,0.1895382078302,0.000207682533745949,0.00117731722052086
"Ypel3",0.530249359136495,-0.00840256170014133,0.0541196745405176,0.000210643432739671,0.00118639817278537
"Grm7",2.17171181040386,-0.134803863766243,0.0656217996405501,0.000236225217523981,0.00131481569924093
"Gm3764",0.536854253869555,0.0141434114921107,0.0552837232229473,0.000236455973403007,0.00131481569924093
"Scg5",0.425439117974866,0.0293780203662241,0.0629854747932186,0.000241809662631209,0.00133607490808257
"Ncald",0.397491596496756,0.337054106113771,0.144037343115973,0.000243393892215944,0.0013363702383932
"Epha3",0.429020323130795,-0.421681654652435,0.130451555481197,0.00024930149173956,0.00134578369071571
"Mgat4c",1.52678998322637,-0.146511206923943,0.12312120271662,0.000249405943729139,0.00134578369071571
"Astn2",0.696588074017584,-0.0356532718669325,0.0628845861757983,0.000250956133886008,0.00134578369071571
"Vmp1",0.487647611325813,0.0145705300746454,0.055708425665982,0.000251274618083231,0.00134578369071571
"Tmem145",0.411161887928599,-0.331802706616691,0.13862664153124,0.00025431262294889,0.00134718241848653
"Son",0.87052780271325,0.132246970149546,0.0878881080586574,0.000255505118291514,0.00134718241848653
"Clstn2",0.810114112377138,-0.118804709356667,0.109796616901203,0.000256165270869146,0.00134718241848653
"Tshz2",2.78793957018236,0.0787262615884523,0.0701136696549672,0.000272638964899051,0.00142523243327468
"Cntnap2",1.81624677567824,-0.186181629769059,0.0788703162653112,0.000283741124596093,0.00146882070609297
"Gpc6",0.82515070860137,-0.257925798976824,0.154586709072315,0.000285833841688257,0.00146882070609297
"Grm5",2.2089367136399,-0.131902041102326,0.0638083059994659,0.000286024650671025,0.00146882070609297
"Sobp",0.587735711904395,0.0193085390853856,0.0567968218531497,0.000289729969506451,0.00147914773905925
"Dab1",2.2362610611527,-0.0493937527889559,0.05344931342526,0.000292010542534472,0.00148212327693369
"Kcnma1",1.56448028516274,-0.107155743994161,0.0699574807704187,0.000309189783215293,0.00156024670951995
"Ccser1",0.8621734246278,-0.22164110780338,0.0899992984159488,0.000320244357384602,0.00160674324136068
"P2ry14",0.727313204260827,-0.00822468173961042,0.0517418667181016,0.000352481745710948,0.00175838036574662
"Rsrp1",1.32161002567668,-0.126944023519019,0.0676450110880566,0.000379717717507,0.00188348617831597
"Kcnh7",1.44720752608419,-0.0584734688426834,0.0749729002990374,0.000386381318364574,0.00190571124820493
"Tmem178b",0.481171737706053,-0.21183370539614,0.131515507246975,0.000402499439338294,0.00197185255221734
"Hsp90ab1",0.432204116899819,-0.0130484997293608,0.0565655591932946,0.000404308828003325,0.00197185255221734
"Nbea",0.969578258933239,-0.0889067743223353,0.0791780623476091,0.000418854897211059,0.00203144625147364
"Csmd3",1.11011556618271,-0.164757033334456,0.0870444022103594,0.000427206831690271,0.00206050587881551
"Dock3",0.659771069392127,-0.0592293319044258,0.0735502165293425,0.000431069769832629,0.0020677137860653
"Pdzrn3",0.632384725236966,-0.04891928472335,0.0778769647084459,0.000446202975749216,0.00212002846556847
"Grik2",0.940240857616768,-0.0164997857301755,0.0517949755267029,0.000446833032834591,0.00212002846556847
"Gria2",1.48030020284592,0.0850615313618787,0.0634611087033186,0.00045699168608504,0.00215650671325535
"Eef1a1",0.407537787043425,0.0532994966317658,0.082108228603507,0.000484025625621861,0.00227179769445099
"Ank2",1.99036065813649,-0.0650041709257033,0.0549436605749372,0.000502099768059723,0.00234402725944459
"Ndufa4",0.438164744715722,-0.000536289009295471,0.0553948994947582,0.000527845878914596,0.00245111410793852
"Rassf8",0.487251038093884,0.00221131425830163,0.0551068767663642,0.000583183471736163,0.00269375222659085
"Igf2bp3",0.630178087622914,-0.0572509602310844,0.0716194225846378,0.000586839065777736,0.0026963710759156
"Gm15398",0.44789137354653,0.283513103369671,0.199246836758962,0.000595467647527283,0.0027216924413158
"Adgrl3",1.41950792858258,-0.0845123972404279,0.0721764023606852,0.000602040716057242,0.00273740388082277
"Fam19a2",0.523445170421392,-0.329941656836013,0.125045519340253,0.000620255643195885,0.00280561231352336
"Nkain2",2.30201751645318,-0.17038980102573,0.0730188196806252,0.000625767578324547,0.00281595410246046
"Akt3",0.454808126977308,-0.228160087996705,0.133845999067977,0.000651609886785691,0.00290767281808241
"Nlk",0.626332411941044,-0.0953146409412989,0.105838854360939,0.000652810850336944,0.00290767281808241
"Gm20642",1.27824307292725,0.00915247527352447,0.0468581231317089,0.000707884444436654,0.00313697015224974
"Kcnd2",2.17760995423021,-0.0922464895033234,0.0602289662611062,0.000712475278048543,0.00314136827139585
"Sgcd",0.550881149102218,-0.28212704851158,0.17459595842581,0.000747681510857262,0.00328002994461503
"Nrg1",1.97423944605687,-0.0816005487774884,0.0818034928197593,0.000772087515633434,0.00337016200573994
"Rapgef4os1",0.7338200508582,-0.0161120430264586,0.0532611137955262,0.000803640159916732,0.00349043711247417
"Ncam1",0.753022168962995,-0.0499183070762017,0.0666427984975209,0.000861919330341648,0.00372502760093197
"Kcnab1",0.542980444292498,0.0266417033382079,0.0607266215336659,0.000892474200988093,0.00383359516235189
"Xkr4",0.853724248553725,-0.175936589911264,0.104585113354468,0.000895822924535837,0.00383359516235189
"Matk",1.09558929023875,-0.145870693690781,0.0754079176693536,0.000958438150654142,0.00408154392937105
"Unc5d",1.09517359705326,-0.0086948916159184,0.0525571612717301,0.00101514194003907,0.00430028716032555
"Fus",0.766332068052314,0.117960016676118,0.0884439961580798,0.00101965571842771,0.00430028716032555
"Cdk14",0.73182379964466,-0.156138073576758,0.0994479504679805,0.00102796103934327,0.00431447109301285
"Nrgn",0.49019776110791,-0.0250477107826579,0.060299014484428,0.0010451677172292,0.00436570056048371
"Pclo",0.414461417424024,-0.281717468505977,0.138710843426499,0.00106573186388636,0.00440399268015495
"Ptprt",0.534543422047679,-0.0123200910224303,0.0569386338308069,0.00106647891967112,0.00440399268015495
"Cit",0.554661420573002,0.0309543455862846,0.0627404566067622,0.00106946901282113,0.00440399268015495
"Ptprk",0.426206086814387,-0.430247146013674,0.15641824673518,0.00109550134127486,0.00447329456628868
"Ttc3",0.862638986711269,0.000771453992162027,0.0498793956515603,0.00109654643434797,0.00447329456628868
"Pcsk2",1.01248619375989,0.0248639510238215,0.0513225965623786,0.00116701425942816,0.0047386206906083
"Macrod2",1.60046508086213,-0.11086436298728,0.066971119098532,0.00119765124791163,0.00484029215686037
"Meis2",0.559645494546654,-0.0290804153287675,0.0622504559504199,0.00120314249488969,0.00484029215686037
"Cacnb4",0.680933798151123,-0.0484243308292273,0.0688411636497339,0.0012326356904076,0.00493619705378822
"Mapt",0.735102398633067,0.0224772367528133,0.0536201950270745,0.0012406282735821,0.00494551818647112
"Etl4",0.806619163448896,-0.130111054927634,0.112345526675994,0.00131562516679511,0.00522063986641878
"Akap8l",0.436334064558988,-0.213618135860368,0.13415507261188,0.00133259413977575,0.00526404834400102
"Cdh20",0.451104352787633,-0.0157471480179665,0.0591418279264662,0.00137707587296117,0.00541525782475269
"mt-Cytb",0.436182290053426,0.00586940883916408,0.0561842843313038,0.00138649592288182,0.00542785175190956
"Tanc2",0.641860161832116,-0.0971123387251731,0.0970700426314965,0.00150596390496668,0.00586922539748174
"5730522E02Rik",1.11302764889489,-0.0260837231189133,0.0534249256661973,0.00155054652674664,0.00601612052377695
"Exoc4",0.491462448032937,-0.111065531247556,0.126614600458189,0.00156185433954513,0.00601744180846241
"Dlgap1",2.52648065839702,0.0360068896847326,0.0448003273169789,0.00156467272682814,0.00601744180846241
"Actb",0.494183593636383,-0.00489843836651914,0.0554220368074497,0.00157277799707302,0.00602208417300329
"Gpm6b",0.562241524834475,-0.0296586518993918,0.0591174391024199,0.00162683970979066,0.00620188238710589
"Asic2",1.22647969028299,-0.18458763424282,0.0972698763552218,0.00164658613793366,0.00624986825398299
"Cntn4",0.898296744241744,0.207604561429676,0.161802924899472,0.00167161905524361,0.00631741746851805
"Mmp16",0.518771440624515,-0.0483333993035304,0.0733171984857852,0.00168602111489489,0.00634438117803118
"Myt1l",0.843158873528253,0.0236870459530879,0.0528577141328381,0.00171434640835994,0.00642328074891945
"Rbm39",0.87560268029998,-0.033592168687715,0.0551415674946927,0.00180381843363645,0.00672963031010522
"Atp5l",0.421503395573022,-0.0174829110271213,0.0582701877394017,0.00184759485481859,0.00686361833300692
"Nrcam",0.814037799320355,0.0177186019315659,0.0517102751337531,0.00186720759672989,0.00690708572858134
"Kansl1",0.55932015336749,-0.115711114723089,0.120787532900241,0.00191167917169171,0.00704175492357327
"Map2",0.99371339549451,-0.0376686611216102,0.0552290267050488,0.00201839062814736,0.00738570323325608
"Cttnbp2",0.856317974587896,-0.1037855786922,0.0853757875725614,0.00202197373739771,0.00738570323325608
"Dcc",1.20531448546885,-0.305703547372912,0.19497199905763,0.00209891232887582,0.00763479359628581
"Syt1",3.76037940265846,-0.0435075664007218,0.0424240810298575,0.00210866884809429,0.00763845603479799
"Ppp2r2b",0.753721736289347,-0.0984123472207182,0.087339520632711,0.00217449721903264,0.00784436393477476
"Cacna2d1",0.63963295297846,-0.0668807440978768,0.0825230057763611,0.00222800334266085,0.00800430830511491
"Ppp3ca",1.66511254489875,0.0299610824413654,0.0483850733604564,0.00244555032740914,0.00874985834355813
"Nrg3os",0.79693838594372,0.0516732985843677,0.0642702819995713,0.00248539749589791,0.00885613066905662
"Epha6",1.67759607397409,-0.16905898156921,0.0814321694346051,0.00250523904609355,0.00889054344406369
"Satb2",0.409370331473902,-0.210422459847783,0.191686863734661,0.00266170375987094,0.0094075602524993
"Tuba1a",0.407009631453421,0.0383203420599739,0.0688736398312507,0.00303157346369054,0.0106716275556526
"Cfl1",0.403435512377571,0.0806292022363369,0.112546392584096,0.00314971652129174,0.0110429820204325
"Atxn1",0.544086720129047,-0.0237259871700522,0.0577949512223002,0.00321913313801252,0.0112412129179397
"Ppm1e",0.892945173554261,-0.00114895819790223,0.0485818889850065,0.00330797992313217,0.0115054441151171
"Rgs7",0.591285207421895,-0.0149602068541533,0.054250707631008,0.00333577852483142,0.0115560898895946
"Tox",0.445858601922211,0.0100001866124045,0.0581983428803905,0.00336381148322741,0.0116071439717689
"Prkce",0.731874002331036,-0.0433367631047746,0.0637738108917686,0.00348529836444191,0.0119789979218811
"Car11",0.487948828094185,-0.121329790138075,0.121379215865371,0.00353475248246487,0.0121013290870268
"Tenm4",0.941250307227462,-0.144056709013012,0.0894773946930799,0.00357256730795909,0.0121830127337824
"Spag5",0.835652524640168,-0.0322887774026137,0.0576314818246618,0.00361491331390097,0.0122794526188154
"Gpr158",0.491185919364598,-0.0188419951728996,0.0566880604551403,0.0036406917755814,0.0123190849615603
"Dgki",0.771999484460611,-0.0766416636263674,0.0787920479717006,0.00365917704883259,0.0123338284310072
"Mbnl2",0.494437422420114,0.00739315279787014,0.0541863556801904,0.00384034266154757,0.0128946890135809
"Tmeff2",0.584077287745567,-0.163524150423867,0.123320771669987,0.00390631519148409,0.0130659508128951
"Dscam",0.628776176972658,-0.0274894706790506,0.0610010326869729,0.00457664528015897,0.0152496615632778
"Pde4dip",0.46249533661244,-0.0344704131553224,0.0643604397378917,0.00464159919543679,0.0154072855422674
"Negr1",1.0152080616102,-0.019284967345041,0.0546291896504117,0.00474382510848889,0.0156869671201167
"Ctnna2",1.35103410209282,-0.0634327977666915,0.0661050050712004,0.00476306418151934,0.0156911510583637
