"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmha1",0,2.29006432416444,0.483,0.013,0
"Inpp5d",8.80907419056549e-286,1.78073740857417,0.315,0.009,1.53700726476987e-281
"Tgfbr1",6.16212327966255e-106,2.00617179941295,0.416,0.044,1.07516726983552e-101
"Plxdc2",2.25874310256222e-69,1.91638373187855,0.537,0.105,3.94105496535057e-65
"Rreb1",3.48175919983782e-39,1.33995146317141,0.295,0.053,6.07497345187703e-35
"Hexb",2.39527816343678e-35,1.3511771430483,0.275,0.051,4.1792813395645e-31
"Dock10",1.04002993032868e-33,1.31300496406128,0.624,0.222,1.81464422243748e-29
"Ccnd3",5.33156312320949e-29,1.23056585429219,0.302,0.069,9.30251133737592e-25
"Ntm",1.49350995667036e-28,-3.33778428912872,0.027,0.515,2.60587617239844e-24
"Lrrtm4",4.11556809032743e-25,0.854618682990248,0.966,0.592,7.18084320400329e-21
"Gm28376",4.21012003479975e-25,1.19093232561135,0.738,0.39,7.3458174367186e-21
"Tmem108",1.80413313559986e-23,1.08826142986995,0.705,0.342,3.14785149499464e-19
"Adarb2",7.44074838530632e-23,0.618817708968283,0.604,0.236,1.29826177826825e-18
"Trpm3",1.79736632247946e-22,0.83653329248944,0.752,0.358,3.13604475946216e-18
"Snhg11",1.45385381255673e-20,-1.87548458381801,0.691,0.773,2.53668413214897e-16
"Nkain2",1.90458596417198e-20,0.736567554061943,0.94,0.662,3.32312159028728e-16
"Stxbp6",3.4042906082205e-20,1.02568053226338,0.557,0.23,5.93980625322313e-16
"Tmcc3",6.41864143520036e-20,1.15736692926441,0.282,0.081,1.11992455761376e-15
"Ahcyl2",3.13054535462684e-19,1.12283849027337,0.671,0.383,5.46217553475292e-15
"Frmd4b",4.02810427363972e-19,1.00236547586042,0.47,0.188,7.02823633664659e-15
"Cdh9",1.23835430579022e-18,0.990669033289228,0.557,0.252,2.16068059274277e-14
"Fam105a",7.51057223261563e-18,1.18487075134197,0.295,0.098,1.31044464314677e-13
"C1qa",2.63621781053885e-17,1.20999530529982,0.262,0.078,4.59967283582818e-13
"Kcnip4",3.6045343259402e-17,0.622407420588686,1,0.725,6.28919149190046e-13
"Epha7",6.94065376631206e-17,0.908538438363822,0.644,0.342,1.21100526914613e-12
"Lingo2",6.00219734287837e-16,0.727890828300664,0.819,0.495,1.04726339238542e-11
"Ppfia2",7.1036079719745e-16,0.923687527600316,0.711,0.458,1.23943751895011e-11
"Cntnap2",1.96743265860031e-15,-2.19327826953227,0.181,0.484,3.43277650272583e-11
"Plcl1",2.10281809619168e-15,0.904086262773938,0.43,0.181,3.66899701423525e-11
"Sema5a",2.39381217997678e-15,0.948116514670188,0.289,0.096,4.17672349162348e-11
"Rfx3",4.57300389900879e-15,0.91953787594719,0.544,0.273,7.97897720299053e-11
"Fgf13",4.83260597591691e-15,1.20201353454902,0.342,0.133,8.43193090677982e-11
"Nrxn1",8.04937930979113e-15,-1.06202564065606,0.651,0.8,1.40445570197236e-10
"Csmd3",9.96440273114166e-14,0.74006232118134,0.785,0.527,1.7385889885296e-09
"Jph1",1.25756776698508e-13,1.04730317562555,0.369,0.162,2.19420423983557e-09
"Meg3",1.27003823800407e-12,-1.39019195576763,0.98,0.903,2.21596271766951e-08
"Mgat4c",1.92483185323254e-12,-2.28871444885688,0.02,0.282,3.35844661752013e-08
"Chrm3",5.82569482699595e-12,-1.8961490572482,0.027,0.287,1.01646723341425e-07
"Cpe",7.30845046807321e-12,-1.35780055501236,0.376,0.62,1.27517843766941e-07
"Synpr",8.34926100765011e-12,0.754950657936607,0.456,0.222,1.45677906061479e-07
"Mctp1",2.25514282145008e-11,0.835379211195705,0.503,0.279,3.9347731948661e-07
"PISD",2.45196991363467e-11,0.993769061543325,0.295,0.123,4.27819710530978e-07
"Hcn1",2.59079865972497e-11,-1.5861859502015,0.027,0.279,4.52042550148813e-07
"Ppp3ca",2.85127992346667e-11,0.593200139624984,0.879,0.706,4.97491321046464e-07
"Tenm4",4.6852837411659e-11,-1.48514171502109,0.047,0.298,8.17488307158626e-07
"Ryr2",6.3805495254294e-11,0.775147422580706,0.597,0.388,1.11327828119692e-06
"Lyst",2.1258236330014e-10,0.86153619501384,0.302,0.134,3.70913707486085e-06
"Trpc6",3.78132512822239e-10,0.921335466372845,0.275,0.115,6.59765608372242e-06
"Nrxn3",6.36205081873364e-10,-1.44955607912537,0.523,0.629,1.11005062685265e-05
