"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vwc2l",0,1.9273115987851,0.307,0.023,0
"Gm28928",0,3.23238044057973,0.595,0.084,0
"Etl4",0,2.72421655509287,0.893,0.234,0
"Tshz2",0,2.54127966799254,0.554,0.1,0
"Il1rapl2",0,2.08699230107859,0.349,0.071,0
"Olfm3",0,1.88788855713163,0.331,0.03,0
"Ptprd",0,1.92857437324607,0.998,0.701,0
"Grm8",0,2.04919610105473,0.518,0.085,0
"Cntn6",0,2.30025629571529,0.325,0.052,0
"Sox5",0,1.67245016019689,0.633,0.19,0
"Hs3st4",0,2.54503039629569,0.808,0.191,0
"Gm28905",0,1.65410817614935,0.335,0.049,0
"Lrrtm3",0,1.65735500027688,0.616,0.17,0
"Nrg1",0,1.70755061117142,0.727,0.293,0
"Sgcz",0,1.71943983959349,0.697,0.2,0
"Cntnap4",0,1.86280138766755,0.385,0.037,0
"Sgcd",0,2.44968660777132,0.603,0.219,0
"Phactr1",0,1.44112931299392,0.885,0.493,0
"Cdh18",0,2.19273551094227,0.51,0.101,0
"Sntb1",0,1.49373050362973,0.255,0.028,0
"Pdzrn4",0,1.769244391973,0.417,0.09,0
"Chsy3",0,1.85853769725301,0.534,0.119,0
"Gm26883",0,1.86740410289511,0.36,0.053,0
"Frmpd4",6.25055885469047e-301,1.67067234051424,0.857,0.479,1.09059750896639e-296
"Zbtb20",6.89040704657393e-300,-2.1408958076121,0.336,0.758,1.20223822148622e-295
"Nrg3",3.92127091356236e-299,1.06865881918931,0.985,0.746,6.8418334899836e-295
"Lrrc4c",4.57107177179528e-293,1.32639867285221,0.891,0.532,7.9756060274284e-289
"Nrxn1",3.08248168541647e-292,1.1646050644059,0.968,0.79,5.37831404471465e-288
"Fut9",3.34442084911976e-279,1.46062225572527,0.518,0.156,5.83534549754416e-275
"Agbl4",5.76263457403335e-279,1.50732319587266,0.668,0.278,1.00546448047734e-274
"Asic2",2.080208462082e-273,1.46396730258114,0.755,0.36,3.62954772464067e-269
"Brinp3",2.01521798512585e-270,1.94583961690118,0.496,0.155,3.51615234044759e-266
"Arpp21",7.34641997940044e-264,1.32014675658822,0.812,0.426,1.28180335800579e-259
"Pcdh9",4.36517972494146e-262,1.08968396771377,0.971,0.805,7.61636558407786e-258
"Prickle1",1.06529107983083e-259,1.21749666117277,0.879,0.546,1.85871987608884e-255
"Ctnna3",1.16110400100382e-248,1.3470512823318,0.554,0.188,2.02589426095147e-244
"Mmp16",2.67013480461267e-248,1.47268854604726,0.699,0.332,4.65885120708818e-244
"Malat1",1.01604114256813e-236,-0.59097618298591,1,1,1.77278858555288e-232
"Dlc1",1.32921316457216e-234,1.42115581102975,0.436,0.132,2.31921112954551e-230
"Pcsk5",7.80710149104299e-230,1.25679015810533,0.269,0.053,1.36218306815718e-225
"Garnl3",1.36259617337588e-229,1.36612447127229,0.34,0.084,2.37745780330624e-225
"Rmst",2.66599684177236e-229,1.27318577038192,0.356,0.084,4.65163128952441e-225
