"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Xkr4",0,-2.33620572255464,0.026,0.495,0
"Rgs20",0,2.36014053535995,0.377,0.054,0
"Sntg1",0,-2.03930989546956,0.031,0.46,0
"Prex2",0,2.54657618074732,0.479,0.094,0
"Kcnb2",0,-2.0595202643302,0.012,0.38,0
"Kcnq5",0,-2.3890662024995,0.052,0.473,0
"Rims1",0,-2.42719629749619,0.038,0.579,0
"Tmeff2",0,-1.65194590782005,0.047,0.377,0
"Acsl3",0,1.76428742031732,0.299,0.086,0
"Serpine2",0,1.6735456119337,0.403,0.146,0
"Sphkap",0,-1.71736377410215,0.02,0.328,0
"Gpr37l1",0,2.11701168951123,0.414,0.107,0
"Glul",0,1.72314182371094,0.497,0.219,0
"Cacna1e",0,-1.64598803493017,0.028,0.359,0
"Tnr",0,-1.81677497919635,0.023,0.355,0
"Atp1a2",0,2.49546913528351,0.575,0.109,0
"Celf2",0,-1.87035267537542,0.401,0.854,0
"Cacnb2",0,-2.46858526160905,0.045,0.543,0
"Grin1",0,-1.54467248850828,0.041,0.399,0
"Kcnh7",0,-2.242804465782,0.029,0.372,0
"Rapgef4",0,-1.45252458412356,0.042,0.374,0
"Slc1a2",0,2.88585014580713,0.875,0.237,0
"Ryr3",0,-1.84285039253018,0.022,0.37,0
"Mertk",0,2.21948431496295,0.297,0.034,0
"Macrod2",0,-1.30452094538133,0.199,0.668,0
"Pcsk2",0,-1.60616080643469,0.047,0.408,0
"Cst3",0,1.65658164204774,0.975,0.866,0
"Snhg11",0,-2.63817871476592,0.371,0.829,0
"Tspan7",0,1.88504800301057,0.67,0.372,0
"Gria3",0,-1.54155681688393,0.039,0.381,0
"Il1rapl1",0,-1.16403311543244,0.227,0.666,0
"Phka1",0,1.95635328153822,0.25,0.043,0
"Frmpd4",0,-2.71716252458191,0.038,0.562,0
"Egfem1",0,-1.87126742025098,0.078,0.473,0
"Pex5l",0,-1.81666198972337,0.032,0.348,0
"Slc7a11",0,2.02289839210605,0.266,0.04,0
"Nbea",0,-1.60690654659578,0.09,0.539,0
"Gm20754",0,-2.08035347174115,0.018,0.404,0
"4921511C10Rik",0,-1.66997650924989,0.069,0.463,0
"Bcan",0,2.36903932506832,0.524,0.134,0
"Gm3764",0,2.18478398282935,0.669,0.339,0
"F3",0,2.47485704414553,0.46,0.072,0
"Ppp3ca",0,-1.17332294299401,0.332,0.759,0
"Ak5",0,-1.74341355850934,0.043,0.421,0
"Lrrc7",0,-2.62456704410511,0.041,0.633,0
"Mmp16",0,-1.48441744238954,0.057,0.39,0
"Epha7",0,-1.75845916567425,0.042,0.385,0
"Lingo2",0,-2.95137010232156,0.046,0.56,0
"Brinp1",0,-1.76155176543311,0.042,0.429,0
"Ptprd",0,-2.77824877873426,0.199,0.789,0
"Slc24a2",0,-1.96533085389314,0.048,0.49,0
"Dab1",0,-1.39068576880258,0.267,0.711,0
"Plpp3",0,2.74280773451093,0.642,0.12,0
"Grm3",0,2.03637159511304,0.365,0.107,0
"Cacna2d1",0,-1.55897110418195,0.042,0.38,0
"Dpp6",0,-1.82721887667187,0.031,0.422,0
"Kcnip4",0,-3.75240176785978,0.16,0.806,0
"Gabrb1",0,1.41087777762512,0.772,0.604,0
"Epha5",0,-1.20122567421736,0.122,0.495,0
"Sparcl1",0,1.92841414175569,0.683,0.315,0
"Miat",0,-1.60320150459377,0.029,0.372,0
"Phkg1",0,2.70471339827471,0.429,0.05,0
"Wbscr17",0,-1.93261878053592,0.028,0.409,0
"Cttnbp2",0,-1.5857026649637,0.134,0.61,0
"Kcnd2",0,-1.77747151606331,0.216,0.74,0
"Ptprz1",0,2.05823034728443,0.554,0.175,0
"Ptn",0,1.6136989556944,0.522,0.274,0
"Dgki",0,-1.7631847708486,0.028,0.38,0
"Cntnap2",0,-2.76673283330794,0.069,0.538,0
"Ccser1",0,-1.90418358252083,0.048,0.496,0
"Lrrtm4",0,-3.54108938304597,0.086,0.665,0
"Sfxn5",0,1.96303541131154,0.35,0.111,0
"Tprkb",0,1.81791392542325,0.263,0.067,0
"Fam19a1",0,-2.86905121631409,0.054,0.556,0
"Cntn4",0,-2.17837218776401,0.032,0.377,0
"Grm7",0,-2.54495221415848,0.045,0.606,0
"Cacna1c",0,-1.82857437871051,0.019,0.36,0
"Grin2b",0,-2.39002094248635,0.176,0.786,0
"Apoe",0,1.86019251639863,0.997,0.907,0
"Slc7a10",0,2.65173480585602,0.355,0.026,0
"Luzp2",0,2.36755091575735,0.465,0.158,0
"Gabrb3",0,-2.0187284528423,0.05,0.529,0
"Ube3a",0,-2.66633559322602,0.106,0.756,0
"Fam189a1",0,-1.76024044968334,0.016,0.341,0
"Ntrk3",0,-1.81237035249935,0.033,0.412,0
"Mfge8",0,2.16399820449796,0.323,0.062,0
"Grm5",0,-2.33544891796142,0.156,0.779,0
"Dlg2",0,-3.41481023365667,0.108,0.849,0
"Htra1",0,2.12126064294878,0.363,0.081,0
"Cd81",0,1.73460562203614,0.746,0.45,0
"Nhsl1",0,2.15764331503584,0.287,0.047,0
"Lama2",0,1.96422316194622,0.256,0.039,0
"Nkain2",0,-2.71161167427188,0.105,0.742,0
"Grik2",0,-1.16620784760618,0.155,0.553,0
"Gja1",0,2.2729586228835,0.46,0.103,0
"Ank3",0,-2.65183433196039,0.05,0.682,0
"Matk",0,-2.12156192018158,0.067,0.603,0
"Anks1b",0,-2.45276644356766,0.125,0.774,0
"Rmst",0,1.9125054412503,0.312,0.064,0
"Ppfia2",0,-2.13671436757204,0.046,0.516,0
"Syt1",0,-2.85461240901794,0.129,0.805,0
"Nav3",0,-2.28669245613035,0.076,0.633,0
"Fam155a",0,-2.8056028050952,0.049,0.681,0
"Dlgap2",0,-2.48117428532008,0.023,0.544,0
"Csmd1",0,-2.55201826697296,0.223,0.869,0
"Wdr17",0,3.11369179878979,0.735,0.16,0
