"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"St18",0,3.71219724348414,0.736,0.086,0
"Plcl1",0,2.69603736609114,0.658,0.169,0
"Tnfaip6",0,2.23925488829717,0.272,0.017,0
"Prr5l",0,3.79926550231131,0.606,0.013,0
"Gatm",0,2.78546023360526,0.549,0.085,0
"Plp1",0,4.09014570708463,0.927,0.218,0
"Cldn11",0,2.87228340414174,0.482,0.057,0
"Hapln2",0,3.80336000503162,0.604,0.02,0
"Ugt8a",0,2.39457073521676,0.291,0.014,0
"Pde4b",0,3.77827843782582,0.87,0.192,0
"Rnf220",0,3.06718537085102,0.475,0.039,0
"Adipor2",0,2.82067817797062,0.375,0.03,0
"Mag",0,3.69603888065791,0.65,0.032,0
"Fa2h",0,2.885083210454,0.386,0.013,0
"Aspa",0,2.79911653687066,0.361,0.015,0
"Enpp2",0,2.74284037761913,0.434,0.044,0
"Sox10",0,2.20127011167114,0.288,0.02,0
"Lsamp",0,-2.94815929048085,0.324,0.948,0
"Mog",0,3.37490565986013,0.549,0.03,0
"Neat1",0,3.64415023868088,0.762,0.11,0
"Sec14l5",0,2.73221355439322,0.327,0.006,0
"Apod",3.05312621834958e-305,2.70250523366161,0.519,0.109,5.32709462577634e-301
"Sept4",2.40932690809374e-297,2.65355014077366,0.526,0.117,4.20379358924196e-293
"Edil3",5.35117974043431e-297,2.64961484165863,0.639,0.185,9.33673841110978e-293
"Ppp1r14a",8.47456607322021e-289,2.01874530673034,0.253,0.025,1.47864228845546e-284
"Cdk19",3.84636127864962e-268,2.40750457340419,0.42,0.077,6.71113115898786e-264
"Car2",4.72360932944795e-268,2.70176071967114,0.563,0.148,8.24175355802078e-264
"Gm42413",1.2757642900575e-255,2.38656243074626,0.328,0.049,2.22595353329232e-251
"Csmd1",3.78315901671916e-247,-2.96866001117038,0.136,0.802,6.60085585237159e-243
"Mbp",1.47816605239615e-246,1.70922523461571,0.955,0.77,2.57910412822081e-242
"Arhgap23",1.21278324660906e-242,2.37300026155605,0.36,0.062,2.11606420868349e-238
"Dlgap1",1.3905640645711e-242,-2.79207569214496,0.137,0.806,2.42625617986366e-238
"Nrg3",3.08256813731456e-237,-3.26650964927447,0.128,0.771,5.37846488598644e-233
"Celf2",8.08262402345899e-234,-2.72455945232579,0.196,0.811,1.41025623961313e-229
"Zfp536",3.00921877385416e-230,2.26045249950679,0.363,0.065,5.25048491662073e-226
"Meg3",1.2592412456081e-222,-2.90050932213375,0.626,0.909,2.19712412533702e-218
"Tmeff2",6.19694593268654e-221,2.41291490335767,0.714,0.326,1.08124312633515e-216
"Nkain2",2.5812339358598e-217,1.70991970479377,0.92,0.655,4.50373697128818e-213
"Opcml",6.80181937536368e-215,-2.93178279078825,0.184,0.765,1.18678144461346e-210
"Nrxn1",1.9155491694442e-211,-2.44701948953058,0.185,0.812,3.34225019084624e-207
"Mast4",2.87379179001789e-207,2.39899038905636,0.654,0.273,5.01419191522321e-203
"Kcnip4",1.94751315319096e-203,-3.37351648328065,0.174,0.737,3.39802094968759e-199
"Dock10",1.34412408484005e-202,2.15306070251697,0.607,0.214,2.34522770322892e-198
"Fgf14",2.28441358539137e-202,-2.92386424137407,0.063,0.702,3.98584482379087e-198
"Pcdh9",1.60949870590022e-194,1.52641911924945,0.94,0.809,2.80825334205471e-190
"Grin2b",2.12360025191841e-193,-2.69321321470946,0.126,0.722,3.70525771954725e-189
"Slc24a2",6.36713277636983e-190,2.13290019188771,0.747,0.426,1.11093732682101e-185
"Mobp",4.61547752253063e-189,2.17319401626984,0.589,0.219,8.05308518131145e-185
"Kcnd2",1.09497953923083e-185,-2.83913033021671,0.081,0.687,1.91052030004996e-181
"Ptgds",1.26385953295465e-185,2.26308433412655,0.554,0.194,2.20518211309928e-181
"Phlpp1",5.44832110603276e-185,2.34672559270067,0.522,0.171,9.50623066580595e-181
"Adgrb3",7.25218868980582e-185,-2.26254333607239,0.146,0.75,1.26536188259732e-180
"Syt1",7.12551159757747e-178,-2.34250262212148,0.172,0.732,1.24325926354532e-173
"Ube3a",4.87078604360142e-177,-2.56760971242981,0.095,0.687,8.49854748887576e-173
"Tenm2",3.2074284398084e-172,-2.56519964021301,0.239,0.742,5.59632114177769e-168
"Dab1",3.74088892011496e-172,-2.63266317123928,0.088,0.668,6.52710298781659e-168
"Nlgn1",2.74724115405357e-168,-1.96402679025423,0.25,0.782,4.79338636559267e-164
"Gabrb1",9.94084686230729e-160,-2.54058027939531,0.071,0.639,1.73447896053538e-155
